Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,41051.18823529412,40986.6,38693.325490196075,41588.27450980392,48002.21568627452,44837.490196078434,41976.95294117647
water_to_trees,1037.0,2697.7137254901963,3070.2862745098037,836.8235294117646,2516.0,4672.537254901961,3034.8823529411766
water_to_grass,53.0,102.0,60.0,4.0,14.0,27.0,150.0
water_to_flooded_vegetation,83.0,76.0,44.0,48.0,36.0,21.0,186.0
water_to_crops,16.0,175.53725490196078,217.4235294117647,198.30196078431374,14.0,13.901960784313726,59.83529411764706
water_to_shrub_and_scrub,4066.627450980392,5700.6274509803925,1958.4274509803922,1466.4392156862746,4050.282352941176,5955.427450980393,6640.01568627451
water_to_built,1.0,4.0,3.0,0.0,0.0,0.0,9.0
water_to_bare_soil,41.0,44.0,63.21568627450981,114.96470588235294,3.0,5.0,70.0
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,52.0
trees_to_water,4421.921568627451,786.4274509803922,867.7490196078431,6102.360784313725,2825.749019607843,4400.894117647059,1346.8078431372548
trees_to_trees,3410131.8431372526,4030287.2196078408,4621899.203921566,4926609.886274503,5178577.560784306,6302568.596078426,6076368.399999993
trees_to_grass,283.93333333333334,181.81960784313725,49.0,196.12156862745098,410.0,715.7333333333333,2352.290196078431
trees_to_flooded_vegetation,162.0,38.0,15.0,183.0,78.0,84.0,57.0
trees_to_crops,20156.89803921569,8714.078431372549,57230.96078431373,9749.027450980391,5795.5137254901965,2451.7137254901963,3761.533333333333
trees_to_shrub_and_scrub,1040724.9999999988,648733.3882352941,746603.0549019609,737670.6823529408,647525.6313725489,663269.7529411763,1438613.494117646
trees_to_built,753.0,2247.227450980392,859.1764705882354,1342.0980392156862,674.8117647058823,3707.886274509804,2343.5450980392156
trees_to_bare_soil,3785.807843137255,25.0,5991.564705882353,768.1843137254901,1529.0,245.7686274509804,791.686274509804
trees_to_snow_and_ice,5.0,0.0,0.0,0.0,0.0,0.0,1.0
grass_to_water,25.0,7.0,4.0,57.0,117.0,16.0,65.0
grass_to_trees,158.0,257.93333333333334,951.756862745098,133.0,799.3843137254902,1108.0,111.0
grass_to_grass,85487.59607843132,90995.69019607836,41007.435294117655,34575.74509803922,41909.48235294118,59428.70980392158,116976.93333333332
grass_to_flooded_vegetation,4.0,0.0,0.0,0.0,8.0,3.0,0.0
grass_to_crops,14896.67843137255,12453.345098039215,58948.349019607835,1981.8745098039217,16994.89803921569,1041.156862745098,9957.635294117646
grass_to_shrub_and_scrub,40258.90588235294,14489.352941176472,38898.78823529412,12934.701960784314,33292.41960784314,17104.17254901961,50133.39607843139
grass_to_built,5.0,47.0,73.0,3.0,0.0,16.0,4.0
grass_to_bare_soil,26683.764705882357,2120.0941176470587,17006.960784313735,4038.047058823529,11304.466666666665,865.7647058823529,4566.815686274511
