Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,19520.60784313725,20338.780392156863,18947.466666666667,21306.443137254897,25465.670588235287,22462.760784313723,19992.478431372547
water_to_trees,466.0,1929.9490196078434,2004.6666666666665,529.7686274509804,1477.9607843137255,2564.78431372549,3378.925490196079
water_to_grass,35.0,75.0,55.0,3.0,0.0,5.0,106.0
water_to_flooded_vegetation,80.0,37.0,41.0,48.0,35.0,10.0,168.0
water_to_crops,8.0,93.53725490196078,96.08235294117647,106.27843137254902,11.0,4.105882352941176,34.46666666666667
water_to_shrub_and_scrub,2845.5686274509803,3248.0196078431363,1190.4274509803922,469.4117647058823,2827.2549019607845,3757.9176470588236,4856.525490196079
water_to_built,1.0,0.0,2.0,0.0,1.0,5.0,14.0
water_to_bare_soil,30.0,27.0,49.48235294117647,18.96470588235294,50.0,16.0,141.0
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,40.0
trees_to_water,3439.1294117647058,484.42745098039217,980.4509803921569,4113.2941176470595,1536.1333333333332,4335.8901960784315,681.2627450980392
trees_to_trees,3082325.654901959,3940472.886274508,4101736.686274506,4446737.243137254,4717784.458823528,5700503.411764719,5659603.098039231
trees_to_grass,141.96470588235294,91.76470588235294,36.0,125.9607843137255,20.0,53.27843137254902,1320.894117647059
trees_to_flooded_vegetation,220.0,38.0,15.0,182.0,88.0,208.0,12.0
trees_to_crops,6636.098039215687,5121.772549019608,9958.466666666667,2786.2509803921566,2520.5647058823533,3728.619607843137,4501.635294117647
trees_to_shrub_and_scrub,471816.34509803914,853954.474509803,409781.031372549,396967.6352941176,328156.0901960785,297129.5019607843,927033.8235294117
trees_to_built,550.3725490196078,4220.419607843138,1382.9882352941177,1592.043137254902,1298.2588235294118,5559.301960784313,4097.854901960784
trees_to_bare_soil,470.62745098039215,28.788235294117648,2921.556862745098,323.71764705882356,2400.6235294117646,988.0,854.6117647058824
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,9.0,0.0,0.0,14.0,108.0,13.0,0.0
grass_to_trees,52.0,94.96470588235294,658.6392156862745,121.0,449.74901960784314,611.0,35.0
grass_to_grass,33817.23529411765,36377.83137254902,14081.26274509804,11280.30980392157,16689.376470588235,15983.466666666667,32604.38039215686
grass_to_flooded_vegetation,4.0,0.0,0.0,0.0,8.0,3.0,0.0
grass_to_crops,7189.596078431372,3167.4039215686275,28686.705882352944,1351.0,5972.141176470588,228.05882352941177,4560.886274509804
grass_to_shrub_and_scrub,10179.466666666667,5138.898039215686,11307.75294117647,4673.933333333333,11801.086274509804,9072.407843137255,21809.78039215687
grass_to_built,2.0,42.0,15.0,0.0,0.0,3.0,0.0
grass_to_bare_soil,3740.580392156863,1515.470588235294,5008.062745098039,593.5098039215686,2226.1882352941175,249.50980392156862,2332.235294117647
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,32.0,142.0,53.0,19.0,13.0,199.0,9.0
flooded_vegetation_to_trees,72.0,246.0,97.0,33.0,214.0,120.0,206.0
flooded_vegetation_to_grass,0.0,11.0,0.0,0.0,0.0,0.0,4.0
flooded_vegetation_to_flooded_vegetation,381.0,284.0,191.0,192.0,198.0,197.0,153.0
flooded_vegetation_to_crops,0.0,43.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,14.0,300.0,25.0,3.0,5.0,15.0,173.4
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,42.51764705882353,28.0,15.529411764705882,61.33725490196078,231.6235294117647,41.0,78.0
crops_to_trees,3106.227450980393,5508.482352941177,3656.921568627451,8503.694117647057,8473.952941176476,7405.67843137255,960.1372549019609
crops_to_grass,3968.007843137255,5573.462745098039,1268.0,19094.517647058823,3748.8823529411766,23120.803921568626,2484.643137254902
crops_to_flooded_vegetation,34.0,0.0,0.0,0.0,3.0,0.0,0.0
