Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,10724.839215686276,7604.450980392157,8092.047058823529,13200.905882352941,19042.976470588233,23681.552941176473,27412.192156862744
water_to_trees,24.0,134.0,10.0,7.0,190.32156862745097,331.7098039215686,1575.2274509803924
water_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,8.0
water_to_flooded_vegetation,0.0,0.0,0.0,0.0,30.0,2.0,361.1764705882353
water_to_crops,1661.0,1188.0,151.0,98.0,1869.0,63.0,763.0
water_to_shrub_and_scrub,5930.9411764705865,514.3372549019608,1696.6588235294118,514.6941176470588,1513.3490196078433,2406.0588235294117,10456.470588235294
water_to_built,33.0,40.0,0.0,178.0,229.0,50.0,27.0
water_to_bare_soil,4553.309803921568,3799.0196078431372,1504.6549019607842,253.68235294117648,3904.2313725490194,1820.5294117647059,5362.129411764706
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,108.0,9.0,71.0,9.0,95.0,534.0,186.0
trees_to_trees,35811.862745098035,32387.964705882358,21868.180392156864,23593.403921568624,47789.87843137255,75076.67843137255,90444.91764705884
trees_to_grass,6.0,19.0,13.0,21.0,0.0,34.0,531.9882352941177
trees_to_flooded_vegetation,0.0,0.0,0.0,13.0,0.0,2.0,46.0
trees_to_crops,3403.9803921568628,222.6392156862745,2524.454901960784,186.8941176470588,347.0,173.00392156862745,2121.4627450980392
trees_to_shrub_and_scrub,51951.30588235294,5289.431372549019,21985.796078431376,2343.474509803921,14962.33725490196,6566.1098039215685,146699.80392156864
trees_to_built,258.5176470588235,70.0,119.0,109.0,134.0,136.0,103.50588235294117
trees_to_bare_soil,2809.5803921568627,363.21568627450984,6863.972549019607,119.86274509803921,549.0,165.8392156862745,7613.360784313727
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,0.0,5.0,0.0,0.0,0.0
grass_to_trees,26.0,0.0,0.0,0.0,60.9921568627451,13.0,17.0
grass_to_grass,635.0,675.0,738.0,2354.9686274509804,2040.0,1656.6745098039216,1976.0431372549017
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,3472.0,74.0,1944.0,11.0,1227.7176470588236,228.0,796.5176470588235
grass_to_shrub_and_scrub,1230.8313725490195,393.0,11.0,554.0,2762.0,333.0,2432.619607843137
grass_to_built,7.0,0.0,4.0,0.0,3.0,28.0,16.0
grass_to_bare_soil,703.0,353.0,255.0,461.0,3440.9764705882353,3839.0,7376.992156862743
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,0.0,0.0,0.0,1.0,0.0,14.0,11.0
flooded_vegetation_to_trees,0.0,0.0,0.0,0.0,25.0,19.0,23.0
flooded_vegetation_to_grass,0.0,4.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,0.0,0.0,0.0,0.0,12.0,24.0,103.0
flooded_vegetation_to_crops,0.0,76.0,0.0,0.0,1.0,0.0,182.0
flooded_vegetation_to_shrub_and_scrub,0.0,0.0,0.0,0.0,4.0,6.0,435.32941176470587
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,11.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,403.0,144.0,1875.0,1807.0,58.0,2201.0,433.0
crops_to_trees,60.0,1719.0,127.0,1920.0274509803921,903.3176470588235,3725.3725490196075,585.7137254901961
crops_to_grass,80.0,1202.0,571.9686274509804,4286.725490196079,2857.9529411764706,3757.5098039215686,839.0
crops_to_flooded_vegetation,69.0,0.0,1.0,12.0,0.0,296.0,68.0
crops_to_crops,223034.28627450977,340031.4,312586.84313725494,364835.1725490197,408655.2784313726,220365.74509803925,245441.96862745105
crops_to_shrub_and_scrub,2733.635294117647,22563.580392156866,2327.1960784313724,38787.596078431365,17380.478431372547,98222.53333333333,14253.125490196076
crops_to_built,228.6,645.7058823529412,446.53333333333336,759.0,1004.8470588235293,1123.329411764706,423.7450980392157
crops_to_bare_soil,24073.56470588235,152799.42745098038,89420.11764705883,162138.42745098038,107531.14117647061,254365.7098039216,57384.14901960783
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,141.9686274509804,2802.043137254902,1946.5176470588235,2755.2823529411767,4482.462745098039,7092.219607843137,1329.1843137254903
shrub_and_scrub_to_trees,2273.156862745098,16977.61568627451,4238.090196078431,33069.0862745098,31957.34509803922,159683.4274509804,10199.41568627451
shrub_and_scrub_to_grass,448.0,79.0,128.0,120.9921568627451,20.0,1341.407843137255,1629.0
shrub_and_scrub_to_flooded_vegetation,2.0,0.0,0.0,9.0,21.0,355.32941176470587,97.0
shrub_and_scrub_to_crops,45529.12549019607,5209.835294117648,36694.38823529413,4467.2235294117645,13816.81960784314,3547.4941176470584,38429.00784313725
shrub_and_scrub_to_shrub_and_scrub,3474198.074509803,3209864.447058822,2774011.780392156,2698422.48235294,3307960.886274509,3706223.0078431354,4214159.513725487
shrub_and_scrub_to_built,741.0235294117647,963.886274509804,596.9529411764706,1508.8196078431372,2608.4470588235295,2275.698039215686,1127.2039215686275
shrub_and_scrub_to_bare_soil,1465532.776470588,381928.94509803917,822097.6980392155,213133.79215686268,242088.70980392158,128798.71764705885,1792344.521568627
shrub_and_scrub_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_water,49.0,9.0,132.0,37.0,17.0,208.0,172.0
built_to_trees,33.0,86.0,51.0,52.51764705882353,105.0,518.0,432.0
built_to_grass,4.0,2.0,0.0,4.0,0.0,0.0,0.0
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,5.0
built_to_crops,1058.4823529411765,381.2117647058824,510.0,438.9686274509804,583.0,750.6627450980392,1295.5843137254901
built_to_shrub_and_scrub,1358.2823529411767,351.5098039215686,599.9843137254902,391.4392156862745,1405.9176470588236,2953.250980392157,3732.1882352941175
built_to_built,19662.050980392152,19980.47058823529,20015.160784313728,22442.788235294116,29098.972549019603,31150.50588235294,32024.745098039213
built_to_bare_soil,3651.4392156862746,641.3686274509804,3112.2039215686273,298.0,1772.2784313725492,962.4470588235295,3295.560784313726
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_water,1853.0,885.8666666666666,2135.717647058824,8963.69019607843,4657.411764705882,12234.423529411764,1470.0
bare_soil_to_trees,133.23137254901962,2140.823529411765,101.36470588235294,5235.180392156863,1655.776470588235,8379.850980392157,446.53333333333336
bare_soil_to_grass,322.0,971.0,1935.0,2747.0,1179.721568627451,5825.580392156861,375.7137254901961
