Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,7375.839215686275,5852.450980392157,6596.047058823529,9033.905882352941,11629.976470588233,15668.380392156863,14811.776470588235
water_to_trees,5.0,42.0,10.0,3.0,42.32156862745098,316.7098039215686,1288.0823529411764
water_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,5.0
water_to_crops,193.0,0.0,8.0,16.0,373.0,0.0,28.0
water_to_shrub_and_scrub,5650.941176470587,401.3372549019608,1579.6588235294118,514.6941176470588,766.3490196078432,2352.1686274509802,9564.929411764706
water_to_built,0.0,0.0,0.0,0.0,0.0,0.0,4.0
water_to_bare_soil,2335.3098039215683,1193.0196078431372,979.6549019607843,223.68235294117648,344.2313725490196,304.52941176470586,2069.133333333333
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,24.0,9.0,33.0,1.0,95.0,390.0,43.0
trees_to_trees,11814.607843137255,10500.478431372549,8928.050980392158,10236.882352941177,26196.262745098036,44886.31372549019,46939.23137254902
trees_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,177.01176470588234
trees_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,18.0
trees_to_crops,1255.9803921568628,65.0,1074.7843137254902,30.12156862745098,175.0,27.00392156862745,1237.0941176470587
trees_to_shrub_and_scrub,37018.192156862744,1612.721568627451,8438.780392156863,1222.4392156862746,10340.63137254902,4500.356862745098,113082.89019607847
trees_to_built,98.0,51.0,57.0,74.0,62.0,39.0,87.50588235294117
trees_to_bare_soil,1975.6156862745097,63.2,4043.070588235294,79.14901960784314,290.0,74.5529411764706,5476.227450980393
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_trees,17.0,0.0,0.0,0.0,0.00392156862745098,0.0,3.0
grass_to_grass,86.0,152.0,93.0,1622.0274509803921,970.0,597.0274509803921,205.4078431372549
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,848.0,46.0,868.0,4.0,532.8274509803921,0.0,79.92156862745098
grass_to_shrub_and_scrub,1050.7843137254902,136.0,2.0,554.0,2666.0,181.0,2303.0196078431372
grass_to_built,0.0,0.0,4.0,0.0,3.0,2.0,0.0
grass_to_bare_soil,565.0,353.0,67.0,460.0,3434.9764705882353,3839.0,6060.992156862743
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,2.0
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,14.0
flooded_vegetation_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,0.0,10.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,0.0,2.0,364.0,30.0,17.0,602.0,8.0
crops_to_trees,32.0,724.0,18.0,999.3333333333334,294.0549019607843,1657.5333333333333,36.0
crops_to_grass,4.0,198.0,568.0274509803921,3312.7764705882355,2508.0470588235294,1589.7333333333333,363.0
crops_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_crops,79615.0588235294,137425.40392156865,141940.81960784312,172681.00784313725,173894.0156862745,63722.91372549019,71293.67450980392
crops_to_shrub_and_scrub,1983.8235294117646,10058.41568627451,1476.0274509803921,25197.729411764707,7474.0,64490.11372549019,3429.964705882353
crops_to_built,72.90588235294118,173.0,124.53333333333333,278.0,110.0,244.4392156862745,107.0
crops_to_bare_soil,12488.941176470587,53293.01568627451,32253.15294117647,104129.32941176469,36818.76862745098,125055.98039215687,19064.729411764707
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,88.96862745098039,2692.043137254902,1820.5176470588235,2172.2823529411767,4396.454901960785,5360.113725490195,884.1843137254901
shrub_and_scrub_to_trees,357.02745098039213,9719.38431372549,2630.2352941176473,22576.737254901967,22280.682352941178,113394.96862745102,3516.435294117647
shrub_and_scrub_to_grass,271.0,0.0,65.0,58.003921568627455,7.0,1015.0392156862745,141.0
shrub_and_scrub_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,24.0,14.0
shrub_and_scrub_to_crops,21593.788235294116,2891.8784313725487,21446.529411764706,1877.7058823529412,7947.011764705882,1428.1098039215688,19237.098039215685
shrub_and_scrub_to_shrub_and_scrub,2522272.4862745083,2335620.8823529403,2063613.9333333329,2020493.2431372541,2479149.0901960772,2773579.7607843126,3093463.207843136
shrub_and_scrub_to_built,239.0235294117647,645.3843137254903,289.99607843137255,676.2666666666667,467.56470588235294,661.1450980392157,717.4509803921569
shrub_and_scrub_to_bare_soil,1045682.549019608,266800.9647058824,535540.1568627451,154655.05490196077,158940.23921568634,91376.17647058824,1202693.4784313724
shrub_and_scrub_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_water,0.0,0.0,0.0,0.0,0.0,5.0,0.0
built_to_trees,31.0,28.0,32.0,27.517647058823528,73.0,234.0,69.0
built_to_grass,4.0,2.0,0.0,2.0,0.0,0.0,0.0
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_crops,381.5607843137255,103.0,247.0,136.0,167.0,89.38039215686274,236.22745098039215
built_to_shrub_and_scrub,788.1215686274511,229.50980392156862,442.6392156862745,163.01176470588234,444.5921568627451,458.4980392156863,587.5647058823529
built_to_built,5383.145098039216,5414.564705882352,5120.823529411765,5281.823529411764,6165.941176470588,6384.780392156863,6757.266666666666
built_to_bare_soil,492.93333333333334,82.3686274509804,887.0039215686274,52.0,207.0,115.4470588235294,517.8392156862745
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_water,0.0,617.8666666666667,977.7176470588234,1918.6901960784314,2503.3568627450977,5745.427450980393,574.0
bare_soil_to_trees,44.76470588235294,1560.8235294117649,25.305882352941175,3315.423529411765,1030.9019607843136,6571.435294117648,95.18039215686275
bare_soil_to_grass,322.0,682.0,1914.0,2612.0,1133.9803921568628,5450.541176470586,0.0
bare_soil_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,2.0,0.0
bare_soil_to_crops,97986.44705882354,36213.27843137255,141043.04313725486,46371.05098039215,74273.8588235294,29034.960784313727,42572.83921568628
bare_soil_to_shrub_and_scrub,49606.18823529411,277347.50196078426,126956.25490196078,625042.925490196,485998.6509803922,1475104.9568627449,87796.4156862745
bare_soil_to_built,66.3686274509804,445.5176470588235,66.0,747.443137254902,478.6,836.5333333333333,270.33725490196076
bare_soil_to_bare_soil,4751392.462745097,5498065.823529408,5548869.070588233,5442622.5764705865,5136802.443137253,3814091.8039215705,3903551.7176470594
bare_soil_to_snow_and_ice,0.0,0.0,0.0,9.0,0.0,0.0,4.0
snow_and_ice_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_bare_soil,0.0,0.0,0.0,0.0,0.0,7.0,2.0
snow_and_ice_to_snow_and_ice,0.0,0.0,0.0,0.0,9.0,2.0,0.0
