Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,12115.019607843136,10852.69019607843,12538.082352941175,13322.741176470587,23430.894117647054,26880.509803921563,10889.913725490196
water_to_trees,11.0,71.0,52.0,95.0,72.67450980392157,858.2823529411764,1727.8784313725491
water_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,311.0
water_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_crops,333.0,0.0,101.0,0.0,130.0,0.0,7.0
water_to_shrub_and_scrub,11771.988235294117,935.4901960784314,3305.254901960784,1604.9333333333334,2253.7137254901963,13017.631372549022,20908.235294117647
water_to_built,8.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_bare_soil,5367.423529411765,553.8392156862745,5960.1882352941175,165.31372549019608,951.7647058823529,3728.0,5989.372549019608
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,64.0,239.0,45.0,4.0,361.0,215.0,160.0
trees_to_trees,26382.996078431373,20416.894117647058,9621.560784313726,11059.090196078432,30806.349019607846,38339.03921568627,67326.41960784314
trees_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,43.0
trees_to_flooded_vegetation,8.0,0.0,0.0,0.0,26.0,0.0,0.0
trees_to_crops,1321.0156862745098,75.36078431372549,854.7019607843138,3.0,331.0,19.99607843137255,231.0
trees_to_shrub_and_scrub,67239.90196078431,6284.9254901960785,17028.047058823526,743.164705882353,28824.39607843137,5598.266666666666,75797.73333333332
trees_to_built,24.478431372549018,0.0,24.0,2.0,0.0,14.0,36.0
trees_to_bare_soil,3834.321568627451,338.97254901960787,6322.003921568627,11.0,668.0,170.0,4616.83137254902
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,5.0
grass_to_grass,0.0,0.0,0.0,11.0,135.0,123.0,4475.0
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,515.0,0.0,12.0,0.0,3620.0,0.0,199.0
grass_to_shrub_and_scrub,136.0,0.0,0.0,0.0,789.0,9.0,1915.0
grass_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_bare_soil,443.0,0.0,38.0,3.0,1288.0,57.0,15777.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_trees,0.0,8.0,0.0,0.0,0.0,22.0,0.0
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,5.0,0.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,0.0,0.0,0.0,365.0,0.0,98.0,25.0
crops_to_trees,0.0,394.0,14.0,599.0,51.0,1046.478431372549,173.30196078431374
crops_to_grass,0.0,0.0,0.0,4016.0,4.0,10690.0,426.0
crops_to_flooded_vegetation,0.0,0.0,0.0,0.0,1.0,0.0,0.0
crops_to_crops,159805.51372549016,224516.11764705885,199788.16470588237,192577.13725490196,278532.60000000003,183478.51764705885,175394.4470588235
crops_to_shrub_and_scrub,505.72549019607845,6804.980392156863,808.8549019607843,24208.80392156863,10542.505882352942,79656.4862745098,10688.592156862745
crops_to_built,6.396078431372549,44.0,49.0,143.0,18.0,255.55686274509804,6.0
crops_to_bare_soil,10683.439215686274,83017.87450980392,58021.2274509804,46905.08235294118,89412.33333333334,106379.6588235294,72889.83921568627
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,213.0,8244.81568627451,2412.2039215686273,4934.607843137255,11057.160784313724,7624.254901960785,254.72156862745098
shrub_and_scrub_to_trees,914.4117647058823,11431.26274509804,2122.694117647059,42365.137254901965,12086.98431372549,101556.85098039215,11588.274509803923
shrub_and_scrub_to_grass,0.0,0.0,0.0,40.0,8.0,3076.0,438.0
shrub_and_scrub_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_crops,30355.34117647059,2869.5803921568627,12938.35294117647,2204.1686274509802,15476.819607843137,1926.1803921568628,27960.839215686272
shrub_and_scrub_to_shrub_and_scrub,2065588.1921568627,1872401.3764705884,1546439.2235294115,1522659.2901960786,2106739.984313726,2298420.9843137255,2777491.772549019
shrub_and_scrub_to_built,214.97254901960784,414.5960784313725,817.3411764705883,754.2470588235294,342.54117647058825,1726.3529411764705,391.5764705882353
shrub_and_scrub_to_bare_soil,750300.9490196079,335303.52156862745,451442.30588235304,67697.78823529411,259712.18039215685,98246.58039215689,812724.5607843135
shrub_and_scrub_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_trees,3.0,43.0,0.0,40.0,30.0,71.0,168.0
built_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_crops,292.70980392156866,42.780392156862746,13.0,67.0,227.0,25.0,233.55686274509804
built_to_shrub_and_scrub,969.6823529411764,340.0,187.34117647058824,844.5725490196079,1415.2470588235294,498.0352941176471,1700.3490196078433
built_to_built,3494.4980392156863,2866.5647058823533,2577.788235294118,2681.0,3768.0039215686274,4149.345098039215,4787.839215686275
built_to_bare_soil,1622.8980392156864,718.6274509803922,1039.0392156862745,210.0,682.7058823529412,724.5529411764705,2538.0196078431372
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_water,21.0,2620.0196078431377,192.7019607843137,8212.698039215687,9635.368627450978,5015.6352941176465,32.0
bare_soil_to_trees,43.745098039215684,1531.156862745098,12.0,6858.517647058823,1309.2941176470588,6317.333333333334,233.0
bare_soil_to_grass,0.0,50.0,14.0,1765.0,42.0,8482.0,66.0
bare_soil_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_crops,122154.39215686277,31177.407843137255,55106.80392156862,183710.13333333333,83287.27843137256,74153.4862745098,54885.60784313725
bare_soil_to_shrub_and_scrub,84453.66274509806,129405.34901960788,72886.5176470588,855362.9058823526,362012.3568627451,1233644.3411764705,199219.60392156866
bare_soil_to_built,262.62745098039215,492.00784313725495,374.44313725490196,2542.709803921569,1339.3882352941177,3282.5098039215686,293.08627450980396
bare_soil_to_bare_soil,7111730.580392155,7718706.670588235,8010053.039215685,7474423.839215686,7131790.337254902,6153610.015686273,6108186.509803918
bare_soil_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
