Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,51854.33333333334,47040.388235294115,44939.59215686275,48368.79215686275,44204.64313725491,41895.35686274511,52023.27450980393
water_to_trees,23515.89019607844,11526.423529411763,4577.713725490196,3319.937254901961,8287.109803921569,5875.643137254902,4022.5725490196082
water_to_grass,795.3411764705882,129.95294117647057,226.0,149.17254901960786,83.0,140.96470588235294,154.6235294117647
water_to_flooded_vegetation,294.5921568627451,167.0,160.8392156862745,356.7725490196078,209.5450980392157,46.13725490196079,193.16470588235293
water_to_crops,1117.0666666666666,642.0196078431372,1125.0745098039213,932.7686274509805,2000.2235294117647,513.3058823529412,669.0941176470587
water_to_shrub_and_scrub,2952.9411764705883,944.243137254902,714.8823529411765,681.6392156862745,6247.4156862745085,250.74901960784314,514.4196078431373
water_to_built,103.50588235294117,116.01568627450979,50.36078431372549,65.10980392156863,56.26274509803922,69.51764705882353,43.325490196078434
water_to_bare_soil,1099.4745098039216,1846.8078431372548,916.5450980392156,343.29411764705884,3270.8901960784315,919.6470588235295,377.73333333333335
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.27450980392156865,0.0,2.0
trees_to_water,3743.9294117647055,2219.76862745098,5785.8117647058825,9937.47450980392,3447.2745098039213,6260.596078431374,7918.933333333333
trees_to_trees,8888389.215686264,8868473.070588227,9104605.89019607,9219167.89803921,8449274.705882348,8416609.772549018,9460284.066666657
trees_to_grass,52122.69019607843,10952.537254901961,18524.682352941174,70130.94509803924,24540.874509803925,13775.031372549021,46235.10196078432
trees_to_flooded_vegetation,620.1921568627452,79.0,360.6156862745098,393.7647058823529,449.8588235294118,288.9411764705882,1519.2784313725492
trees_to_crops,32942.898039215695,47211.694117647035,24191.862745098042,36016.61960784314,37725.92156862746,19642.223529411764,15086.384313725495
trees_to_shrub_and_scrub,1007575.4274509801,234993.82352941175,261111.74901960779,228549.03921568632,1289616.4470588237,105245.33725490194,118817.71764705883
trees_to_built,1727.4470588235295,1104.2,646.3764705882353,1098.5686274509803,1750.9764705882353,455.5372549019608,644.1764705882354
trees_to_bare_soil,19266.196078431374,1439.1176470588236,1578.050980392157,1191.5333333333335,13918.752941176474,177.42745098039217,271.2705882352941
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,2.0
grass_to_water,56.10196078431372,208.68235294117648,228.45882352941177,45.945098039215694,129.54901960784315,155.60784313725492,853.8627450980391
grass_to_trees,14552.654901960785,53256.39607843137,54351.8274509804,7786.86274509804,26597.415686274515,57325.490196078434,26674.019607843133
grass_to_grass,1099937.2,1172607.7647058826,1110757.3647058827,1080722.68627451,988224.1764705887,953540.3294117649,1187992.2980392163
grass_to_flooded_vegetation,26.0,12.0,145.0,41.0,166.0,4.0,4.0
grass_to_crops,49549.37254901961,24029.815686274505,55960.09803921568,51430.86274509803,78429.9725490196,19986.02352941177,3819.035294117648
grass_to_shrub_and_scrub,122595.63921568627,83110.80000000002,172663.50980392157,57220.18823529412,253928.19607843136,42149.600000000006,180976.4235294117
grass_to_built,439.556862745098,345.9843137254902,375.41960784313727,81.30588235294118,236.4862745098039,239.80392156862746,135.6392156862745
grass_to_bare_soil,19916.592156862745,1438.443137254902,11803.717647058824,4550.796078431373,62259.737254901964,30.529411764705884,9743.423529411766
grass_to_snow_and_ice,3.0,0.0,3.0,0.0,0.0,0.0,11.0
flooded_vegetation_to_water,395.67058823529413,191.0,132.5921568627451,66.83921568627451,63.01176470588235,386.19607843137254,22.701960784313727
flooded_vegetation_to_trees,173.19215686274512,541.7137254901961,107.0,488.60392156862747,181.89019607843136,629.6705882352942,398.46274509803925
flooded_vegetation_to_grass,243.49803921568628,107.0,31.0,147.0,55.0,136.0,12.0
flooded_vegetation_to_flooded_vegetation,538.1686274509804,596.2980392156863,594.0666666666667,735.3725490196078,987.6235294117647,303.1607843137255,492.61176470588236
flooded_vegetation_to_crops,48.207843137254905,19.0,44.0,165.63529411764705,10.0,43.0,4.35686274509804
flooded_vegetation_to_shrub_and_scrub,219.60392156862744,320.0,40.0,95.0,412.26666666666665,472.0,80.34901960784313
flooded_vegetation_to_built,0.0,1.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,93.0,63.47843137254902,7.0,14.0,471.0,2.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,2872.2352941176464,911.5607843137254,590.2588235294118,652.3294117647058,819.0980392156862,2544.9490196078427,1322.1843137254903
crops_to_trees,13749.447058823534,13497.243137254898,22905.305882352943,17612.75294117647,16032.30588235294,40686.388235294115,45184.18039215685
crops_to_grass,14840.623529411765,43364.3568627451,17527.803921568626,46797.43921568626,28852.12156862745,142567.15294117646,60700.10196078431
crops_to_flooded_vegetation,36.90196078431373,27.0,24.0,19.0,34.0,31.745098039215687,476.0862745098039
crops_to_crops,335291.8823529412,423288.84705882357,496058.1411764708,571692.4196078434,575524.4627450983,475722.45490196126,422886.1294117651
crops_to_shrub_and_scrub,11168.086274509806,33242.88627450981,26211.67450980392,63919.38431372549,65957.56862745098,97647.56078431373,98267.05882352941
crops_to_built,991.207843137255,1158.6392156862746,628.3058823529412,875.5882352941176,1611.0705882352943,994.6745098039215,576.0823529411765
crops_to_bare_soil,16003.854901960785,15325.80392156863,7026.729411764707,10652.84705882353,128225.51764705886,17660.074509803926,15101.913725490198
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,1604.3176470588237,592.8196078431373,830.7490196078433,3458.9725490196083,408.03137254901964,2580.596078431372,2228.8823529411766
shrub_and_scrub_to_trees,224497.3803921569,466501.7411764706,375987.49411764706,566957.0392156863,61159.207843137265,1118873.4705882357,769848.4039215683
shrub_and_scrub_to_grass,155478.6666666667,140582.09411764707,51319.152941176464,197693.8666666667,29923.282352941183,229544.5686274509,94769.9411764706
shrub_and_scrub_to_flooded_vegetation,270.63529411764705,49.36078431372549,345.0,443.88235294117646,108.0,289.5333333333333,2231.2392156862743
shrub_and_scrub_to_crops,83112.6705882353,44791.399999999994,85470.60392156862,97948.38823529416,77729.17647058821,58295.31764705883,45421.6431372549
shrub_and_scrub_to_shrub_and_scrub,8153618.811764679,8368856.45098035,8321925.8156862315,8286415.117647015,6802854.996078428,6989031.603921568,7842059.419607801
shrub_and_scrub_to_built,1304.2901960784316,1323.4470588235295,1100.6235294117648,965.2235294117646,694.6941176470589,2378.737254901961,1212.5882352941176
shrub_and_scrub_to_bare_soil,1144712.5647058815,354453.6901960784,199046.9921568627,58828.22745098039,2287666.02745098,24453.44705882353,81415.4588235294
shrub_and_scrub_to_snow_and_ice,7.0,0.0,0.0,0.0,0.0,0.0,24.0
