Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,31994.058823529405,44718.93333333334,32620.447058823527,31678.239215686273,75222.81960784312,107271.30980392154,138511.99215686272
water_to_trees,631.1294117647059,2647.913725490196,2213.494117647059,828.9450980392157,2580.4392156862746,1144.6980392156863,5206.254901960785
water_to_grass,88.0,6.0,0.0,0.0,0.0,189.0,0.0
water_to_flooded_vegetation,878.0,122.64705882352942,159.0,228.0,376.6313725490196,769.4039215686274,3182.8823529411775
water_to_crops,926.4823529411765,7538.454901960785,17262.184313725495,917.6941176470589,5580.125490196077,3227.9686274509804,4373.1098039215685
water_to_shrub_and_scrub,2995.380392156863,2645.301960784314,3551.0117647058823,3535.0,2076.078431372549,4943.752941176471,3298.7764705882355
water_to_built,103.0,147.2627450980392,308.0509803921568,249.0,615.3921568627451,281.0,1701.705882352941
water_to_bare_soil,6968.082352941176,6415.803921568629,5467.490196078431,6233.447058823529,8198.164705882353,6344.325490196078,30770.631372549025
water_to_snow_and_ice,0.0,1.0,0.0,0.0,0.0,1.0,22.0
trees_to_water,3860.26274509804,2411.121568627451,668.0039215686274,5089.058823529413,4720.643137254903,11127.588235294117,1125.4549019607844
trees_to_trees,5559480.105882354,4900899.886274511,4206567.898039218,5224314.694117647,6741099.403921569,8646864.250980394,10214767.505882343
trees_to_grass,713.1490196078431,865.0,24.0,8.0,3.0,4966.0,1502.0
trees_to_flooded_vegetation,422.0,56.0,88.0,194.5450980392157,348.4666666666667,2766.0117647058823,348.6235294117647
trees_to_crops,39021.73333333332,42443.68235294118,57995.94117647059,12755.290196078431,16312.266666666666,92145.18823529413,36314.105882352946
trees_to_shrub_and_scrub,1039471.3098039213,4583758.960784313,1374296.7333333339,1234285.423529412,1388038.4470588234,3930106.4274509815,788673.7176470588
trees_to_built,814.8823529411765,1906.6274509803923,1051.5450980392156,1873.2941176470588,1196.0745098039215,5063.435294117647,713.0588235294117
trees_to_bare_soil,934.756862745098,121.0,184.0,343.0,301.0980392156863,2784.0549019607843,2482.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,20.0,0.0,0.0,0.0,0.0,0.0,74.0
grass_to_trees,376.9294117647059,365.0,1812.0,10.0,186.0,67.0,6067.0
grass_to_grass,16581.90588235294,40897.72549019608,11760.0,2298.0,1681.0,12237.0,62521.0
grass_to_flooded_vegetation,5.0,2.0,0.0,0.0,0.0,0.0,122.0
grass_to_crops,6405.752941176471,8431.93725490196,12625.713725490197,1319.0,2760.8196078431374,1854.0,22895.0
grass_to_shrub_and_scrub,9293.658823529411,47816.14117647059,67659.20392156862,11257.0,1070.0,1610.0,34629.1137254902
grass_to_built,0.0,15.0,3.0,7.0,0.0,0.0,7.0
grass_to_bare_soil,931.0,557.0,7806.0,60.0,24.0,35.0,3998.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,248.0,292.29411764705884,105.0,754.0,589.0627450980392,339.3529411764706,606.7098039215687
flooded_vegetation_to_trees,71.9843137254902,416.0,164.0,351.0,246.5921568627451,716.1686274509804,1343.2274509803922
flooded_vegetation_to_grass,116.0,0.0,0.0,0.0,0.0,63.0,0.0
flooded_vegetation_to_flooded_vegetation,1719.0,1384.0,1104.0,969.0,1510.478431372549,1950.9803921568628,7804.345098039212
flooded_vegetation_to_crops,170.0,608.0,13.07843137254902,54.11372549019608,99.76862745098039,655.0,435.03137254901964
flooded_vegetation_to_shrub_and_scrub,483.0,1231.4235294117648,307.0,642.0,739.1882352941175,3067.8196078431374,1220.1607843137256
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,9.0,0.0,170.2078431372549
flooded_vegetation_to_bare_soil,116.0,145.0,19.337254901960783,6.0,160.0,8.0,793.0823529411764
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,1.0
crops_to_water,14228.407843137255,5165.541176470586,1608.0,37214.6,12807.458823529412,17558.701960784314,1830.0
crops_to_trees,28461.7568627451,34288.34117647059,13199.670588235296,37064.549019607846,66763.82745098039,34158.25882352941,76366.78039215687
crops_to_grass,7408.882352941177,4506.945098039216,715.0,1879.8196078431374,2630.0,19916.0,17196.235294117647
crops_to_flooded_vegetation,61.294117647058826,7.768627450980392,179.0,341.0,665.7607843137255,508.15686274509807,412.4745098039216
crops_to_crops,850616.011764706,1003540.2627450982,1127917.3333333333,1069052.5529411766,874613.8235294118,964924.7137254904,1058758.2705882352
crops_to_shrub_and_scrub,69409.90196078432,249165.85490196082,80514.64705882352,519459.95686274517,176499.3294117647,361217.9333333333,106684.38039215686
crops_to_built,780.364705882353,1795.4039215686275,994.0,2461.4470588235295,758.0,2344.764705882353,952.4470588235293
crops_to_bare_soil,18513.286274509803,12429.952941176467,10953.011764705881,33517.91764705882,14178.454901960784,6195.058823529411,5116.564705882353
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,4193.011764705882,1408.3450980392158,4893.482352941177,8086.298039215686,6874.250980392157,7949.435294117646,2338.1803921568626
shrub_and_scrub_to_trees,3941719.090196078,701085.1333333332,2253393.2627450987,2888339.211764706,5881009.137254902,2361907.7333333334,8090713.078431376
