Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,584.6117647058824,3247.35294117647,1010.2117647058825,1903.3058823529416,7945.737254901955,11821.10980392156,14364.16862745097
water_to_trees,219.0,251.26274509803923,157.0705882352941,182.0,102.96862745098039,16.0,456.10196078431375
water_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_flooded_vegetation,23.0,26.654901960784315,157.0,59.0,104.0,1338.0,232.521568627451
water_to_crops,250.0078431372549,1216.552941176471,3364.274509803923,347.278431372549,544.2549019607843,260.55686274509804,530.921568627451
water_to_shrub_and_scrub,68.0,1007.2745098039215,254.89411764705886,522.0,41.0,274.0,309.98823529411766
water_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_bare_soil,230.17647058823528,1063.1294117647058,732.8705882352942,198.47843137254904,928.8588235294117,339.5960784313725,3993.6392156862744
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,492.37254901960785,138.0,375.0,292.63529411764705,182.5607843137255,1030.992156862745,207.01176470588234
trees_to_trees,144135.21568627452,151586.99607843134,119924.87058823527,101081.35686274506,121740.37647058823,212497.10588235297,205997.7529411766
trees_to_grass,59.839215686274514,34.0,0.0,0.0,1.0,1420.0,20.0
trees_to_flooded_vegetation,670.0,28.0,31.0,85.0,66.0,212.0,24.0
trees_to_crops,3653.407843137255,4806.247058823529,10178.580392156862,2394.9882352941177,3918.0039215686274,19944.007843137253,4369.219607843137
trees_to_shrub_and_scrub,31502.788235294123,50732.64313725491,51454.38823529413,30994.15294117647,4747.470588235295,263328.06274509814,24029.192156862744
trees_to_built,53.0,56.0,5.0,120.02352941176471,1.0,175.0,28.941176470588236
trees_to_bare_soil,100.83529411764707,10.0,1.0,1.0,27.0,0.0,6.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,2.0,0.0,0.0,222.0,0.0,0.0,0.0
grass_to_trees,73.0,40.0,2.0,0.0,0.0,0.0,355.0
grass_to_grass,4823.0,3943.270588235294,285.0,0.0,0.0,8.0,4377.0
grass_to_flooded_vegetation,1.0,0.0,0.0,0.0,0.0,4.0,0.0
grass_to_crops,1502.0117647058823,3188.8392156862747,5026.341176470588,148.0,0.0,481.0,796.0
grass_to_shrub_and_scrub,1632.2901960784316,4817.0,6074.792156862745,229.0,3.0,353.0,1642.0
grass_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,0.0,484.0,46.0,93.0,104.0,173.08627450980393,1377.0
flooded_vegetation_to_trees,18.0,151.0,39.0,1.0,91.0,27.0,123.0
