Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,225341.57647058825,305289.1372549019,272006.8941176471,258031.5137254902,273701.0509803922,401778.83921568625,459912.50980392157
water_to_trees,3219.654901960784,26530.576470588236,12036.01568627451,10466.42745098039,5127.501960784313,18913.592156862742,10073.435294117648
water_to_grass,33.0,169.33333333333334,35.0,132.0,14.0,1763.4745098039216,330.39607843137253
water_to_flooded_vegetation,6002.298039215686,24085.200000000004,7282.666666666667,9321.945098039216,5305.666666666666,11912.592156862745,6625.752941176471
water_to_crops,4591.8901960784315,14790.474509803922,14764.552941176471,3948.2705882352943,1457.6823529411765,4770.670588235294,5241.4
water_to_shrub_and_scrub,1907.2666666666667,21288.93725490196,11687.807843137256,8731.098039215685,3238.470588235294,10737.823529411766,9810.219607843137
water_to_built,65.0,935.0666666666666,584.0,553.7921568627451,272.7137254901961,145.25882352941176,904.1215686274511
water_to_bare_soil,3526.3882352941177,17523.905882352945,6460.545098039215,13748.933333333332,10798.341176470587,1896.3882352941175,37894.5568627451
water_to_snow_and_ice,0.0,0.0,0.0,0.0,3.0,12.0,1.0
trees_to_water,21386.239215686273,2866.964705882353,6055.250980392157,7890.584313725491,44944.57647058823,16457.858823529412,31952.674509803925
trees_to_trees,21592453.164705884,36887685.031372525,33802629.27058822,36145215.898039214,44275952.89019607,82186459.03137274,76861889.70588234
trees_to_grass,228859.56470588234,535477.7411764705,257917.2549019608,942650.6392156861,1144109.8392156858,3328715.4705882357,2868296.5137254903
trees_to_flooded_vegetation,7040.121568627451,1938.0156862745098,4177.172549019608,5335.576470588236,11581.937254901959,9070.670588235293,21229.44705882353
trees_to_crops,330834.78431372554,3981594.9176470586,1293789.0745098037,374848.4196078431,338799.1058823529,2167533.7333333334,1993547.6313725489
trees_to_shrub_and_scrub,2562811.674509804,17254462.470588233,10621909.878431372,9824175.0745098,6785701.56862745,14948847.360784315,24647265.352941178
trees_to_built,2988.2549019607845,7789.650980392157,3974.61568627451,6100.870588235294,6580.18431372549,14867.796078431373,9786.45882352941
trees_to_bare_soil,145891.65098039215,41857.78431372549,451650.0862745099,129211.70980392158,62431.8431372549,91644.29803921568,368271.73333333334
trees_to_snow_and_ice,0.0,0.0,0.0,5.0,20.0,9.0,19.0
grass_to_water,0.0,20.0,42.0,163.0,1587.7254901960785,309.9529411764706,2680.0666666666666
grass_to_trees,149761.54901960786,678809.1999999998,368423.894117647,211086.23529411765,1419257.0705882353,1070192.9725490196,1036105.6901960784
grass_to_grass,633242.0156862746,3771196.9686274515,2587823.9568627453,2821091.68627451,5683089.117647059,11169104.30588235,16649255.227450984
grass_to_flooded_vegetation,20.0,67.31764705882352,29.0,52.0,833.1490196078431,262.0,966.0039215686274
grass_to_crops,504710.24313725485,2562883.6,913853.9607843137,574159.6352941177,1092099.4666666666,2110561.062745098,4631638.403921569
grass_to_shrub_and_scrub,164321.6274509804,2865230.509803922,1443259.2470588235,969867.6470588235,4779405.898039215,2483001.207843137,5440929.031372549
grass_to_built,27.0,218.0,30.0,5.0,349.35686274509806,150.20392156862744,388.4627450980392
grass_to_bare_soil,76142.49411764705,97408.38823529411,291848.5803921569,354274.8,375616.0,4232.980392156863,142338.18431372548
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,14140.870588235293,4492.8117647058825,9427.431372549021,7425.082352941176,21564.403921568628,13173.788235294118,19454.239215686273
flooded_vegetation_to_trees,2893.0,22451.46274509804,11586.486274509805,4831.949019607843,5135.423529411764,13181.423529411766,4835.270588235294
flooded_vegetation_to_grass,36.0,112.00392156862745,111.0,108.0,72.0,2307.0039215686274,250.93725490196078
flooded_vegetation_to_flooded_vegetation,25082.278431372553,45033.811764705875,41416.25098039215,34043.86666666667,23592.76862745098,36432.79215686275,43087.96078431373
flooded_vegetation_to_crops,645.0666666666666,6779.003921568625,4509.5921568627455,1125.764705882353,503.6666666666667,2123.254901960784,3924.0196078431372
flooded_vegetation_to_shrub_and_scrub,535.3019607843137,19916.5568627451,9849.560784313726,6145.435294117648,2738.486274509804,7424.0,10268.341176470589
flooded_vegetation_to_built,27.0,427.0,290.0,258.0,218.0,136.0,1001.0
flooded_vegetation_to_bare_soil,481.0627450980392,898.0,886.0,3640.0,2196.7490196078434,31.0,8751.949019607844
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,18794.666666666668,3472.807843137255,4907.98431372549,9399.792156862746,28680.364705882355,5762.98431372549,4860.474509803922
crops_to_trees,3655238.964705881,627064.9960784315,1822741.9294117647,2766419.4509803923,8847330.003921568,684642.2156862746,1610287.1411764703
