Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,16984.7568627451,16677.364705882355,13043.105882352942,10521.286274509803,14814.549019607844,19437.674509803925,15666.792156862746
water_to_trees,14601.972549019609,3628.266666666667,4069.894117647059,3763.098039215686,899.4431372549019,10513.007843137255,5029.10588235294
water_to_grass,872.156862745098,754.407843137255,105.0,837.0588235294117,59.0,358.2980392156863,979.0078431372549
water_to_flooded_vegetation,6.0,0.0,22.0,10.0,1.0,179.0,0.0
water_to_crops,333.63529411764705,82.0,525.2823529411764,256.67058823529413,7.0,103.72941176470589,324.32941176470587
water_to_shrub_and_scrub,26311.443137254908,3075.454901960784,10033.356862745099,1044.3686274509803,463.4901960784313,3304.745098039216,2104.105882352941
water_to_built,0.0,0.0,6.0,0.0,1.0,1.0,2.0
water_to_bare_soil,316.5764705882353,7.0,104.12941176470588,47.0,0.0,21.733333333333334,28.0
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,16.0,0.0
trees_to_water,2829.670588235294,3547.1450980392156,1894.894117647059,649.0,10694.223529411765,2624.964705882353,2653.0549019607843
trees_to_trees,427277.2196078428,465812.0901960781,557893.6196078428,605524.8392156857,709076.8862745092,799133.698039215,814684.1960784306
trees_to_grass,3429.360784313725,4088.1450980392156,486.01176470588234,2439.2470588235296,2745.878431372549,5246.007843137255,9022.027450980393
trees_to_flooded_vegetation,10.462745098039216,0.0,6.0,0.0,0.0,295.0,73.0
trees_to_crops,5540.949019607842,4205.827450980391,9508.5568627451,5486.643137254902,2761.592156862745,3966.286274509803,6507.607843137255
trees_to_shrub_and_scrub,227080.031372549,49574.36470588236,134875.5411764706,72337.2980392157,172745.4352941177,82470.9137254902,146292.2666666667
trees_to_built,549.7137254901961,321.5333333333333,678.6784313725491,212.32156862745097,283.0,480.0549019607843,369.2549019607843
trees_to_bare_soil,972.356862745098,40.0,1041.7686274509804,145.0,1676.6117647058823,1185.8784313725491,553.9176470588235
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,1.0,0.0,0.0
grass_to_water,512.0901960784314,502.52156862745096,566.2901960784313,60.0,1652.964705882353,355.2352941176471,177.31372549019608
grass_to_trees,1698.8,1959.3333333333333,9737.239215686273,2047.4549019607844,4856.24705882353,5085.019607843138,3907.301960784314
grass_to_grass,246751.59999999995,324612.5294117646,319354.3647058822,272341.14117647056,300718.53333333327,476789.29803921544,632651.7294117642
grass_to_flooded_vegetation,23.992156862745098,0.0,15.0,1.0,18.0,82.94509803921568,0.0
grass_to_crops,51969.30588235294,24414.6431372549,167104.0901960784,34510.1137254902,29965.98431372549,32901.51764705882,59521.9137254902
grass_to_shrub_and_scrub,200217.7921568627,57823.39607843138,235103.43529411772,79159.12156862745,269996.3490196077,126853.20000000003,227162.7137254901
grass_to_built,116.69019607843137,128.0,419.5843137254902,404.52941176470586,239.03529411764708,339.0039215686274,340.16078431372546
grass_to_bare_soil,152065.80392156861,20659.10980392157,185214.01176470588,35946.352941176476,90623.43137254902,61008.39607843138,78764.2980392157
grass_to_snow_and_ice,0.0,7.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,0.0,2.0,0.0,19.0,13.0,93.0,241.0
flooded_vegetation_to_trees,0.0,1.5372549019607842,0.0,1.0,0.0,2.0,24.0
flooded_vegetation_to_grass,0.0,37.91764705882353,0.0,21.0,2.0,2.0,169.94509803921568
flooded_vegetation_to_flooded_vegetation,1.0,0.0,0.0,4.0,0.0,112.0,235.0
flooded_vegetation_to_crops,21.0,2.0,0.0,3.0,0.0,4.0,45.0
flooded_vegetation_to_shrub_and_scrub,3.7490196078431373,1.0,0.0,0.0,0.0,23.0,202.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,436.57254901960783,208.94117647058823,44.83529411764705,155.06666666666666,748.2705882352942,315.81176470588235,157.08235294117648
crops_to_trees,4145.309803921569,7665.870588235293,6565.01568627451,7659.227450980392,15671.592156862745,12719.011764705883,3993.835294117647
crops_to_grass,61547.71764705884,82375.94901960786,11676.094117647059,101048.18823529413,135481.4274509804,118740.38823529413,69663.13725490196
crops_to_flooded_vegetation,2.0,0.0,0.0,0.0,11.0,40.0,0.0
crops_to_crops,1116953.992156862,1113295.996078431,1168897.6901960776,1174883.807843137,1005664.14117647,901812.2901960784,863757.5450980394
crops_to_shrub_and_scrub,84064.40784313728,81673.59215686275,59457.003921568634,213196.93725490192,141384.5921568627,123704.79999999999,50348.737254901964
crops_to_built,992.1607843137255,884.3960784313725,841.6117647058823,1499.6313725490197,1161.1176470588234,1779.0392156862745,1317.5607843137254
crops_to_bare_soil,70224.18431372545,20453.007843137253,16844.356862745095,41392.43921568628,44163.36470588234,11480.666666666668,6487.019607843137
crops_to_snow_and_ice,7.0,1.0,0.0,2.0,0.0,0.0,0.0
shrub_and_scrub_to_water,3320.2941176470586,6770.482352941177,924.3568627450979,4775.129411764706,5571.584313725491,1254.6549019607842,1483.2392156862745
shrub_and_scrub_to_trees,78707.05098039216,225548.59999999992,108121.09019607844,276843.66666666657,162540.00392156857,150809.3176470588,69846.92156862745
shrub_and_scrub_to_grass,78834.00784313725,260550.40784313716,59138.25490196079,201381.37647058818,171456.32549019603,273095.4666666665,303334.6980392155
shrub_and_scrub_to_flooded_vegetation,1.0,0.0,5.0,0.0,66.0,208.0,0.0
shrub_and_scrub_to_crops,86672.64705882355,71564.8,140565.85490196076,89509.55686274508,114073.34509803921,44696.72549019608,65430.6705882353
shrub_and_scrub_to_shrub_and_scrub,4027349.8901960747,3964715.8039215654,3910593.0235294094,3903839.784313725,3882716.5803921553,3997665.0509803863,4013299.4745098
shrub_and_scrub_to_built,2078.176470588235,3823.1921568627454,1395.2392156862747,1210.7647058823532,1249.5372549019608,1912.4117647058824,1320.0588235294117
shrub_and_scrub_to_bare_soil,320741.3803921568,197942.77254901954,245671.0235294116,69158.89019607844,258430.10980392166,101656.64705882352,130916.34509803922
shrub_and_scrub_to_snow_and_ice,0.0,0.0,0.0,0.0,18.0,0.0,0.0
built_to_water,4.0,4.0,0.0,1.0,1.0,0.0,3.0
built_to_trees,521.8470588235293,535.5568627450981,299.6235294117647,552.2352941176471,917.4549019607842,715.6078431372548,783.9098039215686
built_to_grass,320.0,434.1921568627451,264.0,324.3686274509804,683.6509803921568,548.0,702.7019607843138
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_crops,1355.462745098039,861.4156862745097,1244.1019607843136,571.3254901960784,801.4627450980392,414.2,809.9372549019608
built_to_shrub_and_scrub,2733.5372549019608,514.5176470588235,1249.2235294117647,1412.1450980392158,1497.9372549019608,976.3254901960784,1105.992156862745
built_to_built,36344.63529411764,37731.69411764704,39831.866666666654,40315.905882352934,39741.647058823524,40021.20392156862,41129.17254901961
built_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_water,112.0,176.31372549019608,6.0,65.0,437.5960784313726,52.0,10.733333333333333
bare_soil_to_trees,73.0,1233.8156862745097,107.86666666666667,3593.1058823529406,1441.1764705882351,1177.662745098039,62.0
bare_soil_to_grass,38241.168627450985,244660.46666666647,33445.98823529412,119678.16470588231,92267.79999999999,127745.97254901959,86214.14901960787
