Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,3599.7568627450983,3049.7568627450983,2450.1176470588234,1593.0,2270.7019607843135,3899.98431372549,2964.98431372549
water_to_trees,6584.196078431372,739.0,1270.0,1177.1176470588234,373.0,2664.247058823529,617.1058823529412
water_to_grass,234.0,107.0,27.0,72.0,9.0,281.0,83.0
water_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,3.0,0.0
water_to_crops,22.0,27.0,18.0,69.0,0.0,0.0,29.0
water_to_shrub_and_scrub,6130.839215686275,664.0,2789.843137254902,242.1843137254902,181.0,962.8941176470588,1303.0
water_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_bare_soil,25.0,0.0,5.0,0.0,0.0,0.0,0.0
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,186.0,1919.0,317.0,210.0,2897.6509803921567,544.1058823529412,2018.8784313725491
trees_to_trees,100795.63529411766,121478.77647058821,149904.19215686273,180240.92156862744,223871.74901960784,241958.7882352941,214288.12549019608
trees_to_grass,981.0,955.0,435.0,1740.313725490196,1249.0,1452.3843137254903,1815.5647058823529
trees_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,54.0,0.0
trees_to_crops,375.7137254901961,208.21176470588236,1146.5647058823529,953.6274509803923,137.0,111.79999999999998,197.90588235294118
trees_to_shrub_and_scrub,61465.90980392156,20809.039215686276,67240.8705882353,42038.18823529412,66604.89803921568,36419.611764705885,120926.831372549
trees_to_built,42.0,23.0,67.0,9.0,14.0,42.0,29.0
trees_to_bare_soil,503.0,89.94509803921572,2117.0,202.0,996.0,1789.9607843137255,720.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,68.0,107.0,76.0,1.0,318.0,72.0,154.0
grass_to_trees,375.7647058823529,449.01176470588234,1780.0,637.0,1882.850980392157,1077.0,624.7843137254902
grass_to_grass,30193.960784313727,44680.49803921569,50921.59607843139,42671.18039215687,66259.58823529413,128885.50980392158,135237.92156862747
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,244.0,0.0
grass_to_crops,4542.207843137255,1626.3999999999999,22353.254901960783,5312.596078431371,1312.3882352941177,2075.4313725490197,2803.509803921569
grass_to_shrub_and_scrub,27440.95294117647,33704.647058823524,37209.9411764706,28081.023529411763,48994.878431372555,59240.73333333333,115151.66274509803
grass_to_built,13.0,18.0,38.0,0.0,3.0,73.0,23.0
grass_to_bare_soil,37080.61960784314,13474.823529411764,40630.811764705875,6905.64705882353,18598.521568627453,23222.976470588237,42754.34901960785
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,0.0,417.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,22.0,0.0,0.0,3.0,180.0,27.0,0.0
crops_to_trees,245.1450980392157,779.9764705882353,829.392156862745,2186.8274509803923,1334.9725490196079,446.38039215686274,44.78431372549019
crops_to_grass,8390.2,17394.592156862745,2763.635294117647,26626.325490196075,22816.635294117652,10095.517647058825,2890.078431372549
crops_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_crops,52134.91372549018,32974.14901960785,56875.125490196086,62895.41176470592,21506.11764705882,9519.003921568627,7686.831372549019
crops_to_shrub_and_scrub,55234.925490196074,42115.54509803921,26351.94117647059,132783.52156862745,70537.33725490196,19864.811764705883,11113.298039215688
crops_to_built,12.0,23.0,34.0,133.0,43.0,53.0,19.0
crops_to_bare_soil,29069.227450980397,13589.780392156863,12099.447058823529,15239.411764705881,20092.768627450976,5535.109803921569,3301.2745098039213
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,624.0,1479.2039215686275,310.1843137254902,1021.7019607843138,1901.7725490196078,454.0,367.0
shrub_and_scrub_to_trees,37323.23137254902,96430.86274509803,71432.46666666666,110198.431372549,54561.882352941175,91160.89019607843,18482.15294117647
shrub_and_scrub_to_grass,31889.474509803924,35331.054901960786,20187.607843137255,38661.52941176471,102992.07843137253,117889.11764705884,71240.5137254902
shrub_and_scrub_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,116.0,0.0
shrub_and_scrub_to_crops,21698.50588235294,32412.298039215693,117880.89019607846,43181.94117647059,20719.258823529413,10663.592156862745,9547.403921568628
shrub_and_scrub_to_shrub_and_scrub,2522376.874509811,2583411.780392164,2648043.631372555,2661542.650980399,2694075.2196078505,2609019.5058823596,2645350.9568627523
shrub_and_scrub_to_built,186.0,224.0,210.0,158.0,111.0,309.0,146.0
shrub_and_scrub_to_bare_soil,210417.31372549018,71793.29019607842,105784.6392156863,32319.399999999998,149288.5294117647,102136.14509803918,86406.94901960783
shrub_and_scrub_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_water,0.0,0.0,0.0,0.0,1.0,0.0,0.0
