Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,5683.015686274508,6643.282352941174,8869.69803921569,15215.247058823532,28343.698039215687,22758.15294117647,11259.007843137251
water_to_trees,56.0,20.0,9.0,0.0,18.0,50.0,223.0
water_to_grass,21.0,0.0,0.0,0.0,0.0,0.0,13.0
water_to_flooded_vegetation,107.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_crops,1301.2509803921569,7.0,514.0,1.8196078431372549,37.0,2.0,256.38823529411764
water_to_shrub_and_scrub,2645.5725490196073,418.9843137254902,533.2823529411764,279.81176470588235,1329.6980392156863,1823.2117647058824,1051.141176470588
water_to_built,2.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_bare_soil,8256.619607843137,682.2941176470588,1635.6862745098038,1221.141176470588,8353.690196078433,22279.45490196078,16971.643137254898
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,313.0,62.0,32.141176470588235,0.0,0.0,4.0,136.0
trees_to_trees,29929.219607843137,12081.0,9821.0,9445.0,13501.184313725491,18245.160784313724,31285.84705882353
trees_to_grass,229.0,0.0,25.0,24.0,14.0,84.0,187.0
trees_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,101.0
trees_to_crops,6158.26274509804,62.0,486.78823529411767,131.0,80.90588235294118,128.0,574.4274509803921
trees_to_shrub_and_scrub,106795.36862745097,15258.219607843135,8442.890196078431,3975.0,3839.2784313725488,14281.282352941176,4884.549019607843
trees_to_built,31.0,0.0,10.0,4.0,10.0,3.0,15.0
trees_to_bare_soil,18688.400000000005,3227.494117647059,1460.8509803921565,940.921568627451,955.035294117647,1219.0,874.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,7.0,0.0,0.0,0.0,2.0,0.0
grass_to_trees,0.0,113.0,9.0,9.0,176.0,145.0,103.0
grass_to_grass,927.0,714.0,518.0,742.0,1109.0,1869.0,1543.0
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,7022.164705882353,340.0,3213.0,16.0,20.0,452.0,460.035294117647
grass_to_shrub_and_scrub,483.4470588235294,105.0,66.0,1.0,8.0,587.0,42.0
grass_to_built,110.0,1.0,4.0,0.0,0.0,5.0,0.0
grass_to_bare_soil,690.0,3.0,30.0,0.0,330.0,152.0,1138.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,0.0,0.0,0.0,0.0,0.0,0.0,1.0
flooded_vegetation_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,8.0,107.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,6.0,609.9921568627451,1.0,557.0,28.819607843137256,583.0941176470589,114.0
crops_to_trees,103.0,732.4039215686274,157.6627450980392,454.0,1362.6039215686274,571.8901960784314,946.0
crops_to_grass,80.0,2687.0,184.0,637.0,1883.0,1297.035294117647,959.0
crops_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_crops,141890.23529411765,224935.1843137255,249125.28235294117,276118.3529411765,172903.46666666667,105668.97254901961,145861.92549019607
crops_to_shrub_and_scrub,3550.2823529411767,42968.58823529412,4644.905882352941,41634.43921568627,42643.23529411765,19822.729411764707,4537.01568627451
crops_to_built,109.0,94.0,34.0,144.0,194.0,73.0,89.0
crops_to_bare_soil,46361.541176470586,97824.56078431373,22713.38823529412,110390.11372549018,96334.25882352941,62771.6,39330.580392156866
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,676.478431372549,813.3921568627451,885.8862745098039,1833.6313725490195,963.2627450980392,619.6666666666666,830.1254901960784
shrub_and_scrub_to_trees,575.0,6049.490196078431,4311.2588235294115,7821.403921568627,17540.486274509807,13739.643137254903,23253.85098039216
shrub_and_scrub_to_grass,26.0,184.0,18.0,15.0,151.0,17.0,943.0
shrub_and_scrub_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_crops,94570.368627451,15488.047058823528,57010.98039215686,9300.615686274508,3787.541176470588,5919.639215686275,17018.800000000003
shrub_and_scrub_to_shrub_and_scrub,3784963.6666666656,3698670.3372549005,3703137.4941176437,3377490.0901960763,3170161.827450978,3064196.1411764678,2931414.592156861
shrub_and_scrub_to_built,167.0,184.0,126.0,72.0,182.0,309.0,225.0
shrub_and_scrub_to_bare_soil,898150.5607843135,334303.4705882353,378356.05490196066,470582.6039215686,351251.68235294125,417410.62745098036,445166.0039215687
shrub_and_scrub_to_snow_and_ice,0.0,2.0,0.0,1.0,0.0,0.0,0.0
built_to_water,0.0,0.0,0.0,0.0,0.0,0.0,21.0
built_to_trees,0.0,8.0,0.0,4.0,3.0,11.0,82.0
built_to_grass,0.0,12.0,0.0,0.0,14.0,1.0,8.0
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_crops,95.0,73.0,270.0,66.0,40.0,118.0,207.0
built_to_shrub_and_scrub,143.0,88.0,82.0,104.0,56.0,171.0,143.0
built_to_built,3896.0,3671.0,3510.0,3483.0,3651.0,3911.0,4500.0
built_to_bare_soil,697.0,541.0,243.0,133.0,61.0,181.0,198.0
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_water,1093.0666666666666,3426.0,6929.294117647058,20476.20784313725,17577.039215686273,5807.266666666666,3863.2392156862747
bare_soil_to_trees,27.49411764705882,1274.7764705882353,212.0,667.0,1360.1686274509805,5295.129411764707,4992.376470588236
bare_soil_to_grass,0.0,243.0,23.0,225.0,41.0,18.0,189.0
bare_soil_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,1.0,2.0
bare_soil_to_crops,118813.44705882351,35955.00784313726,119314.85490196079,29715.596078431372,13919.407843137255,79548.90980392156,91242.16862745098
bare_soil_to_shrub_and_scrub,157113.40000000002,386336.5450980392,150207.77254901963,120553.4588235294,284173.67843137257,317967.00784313714,192486.15686274506
bare_soil_to_built,78.0,155.0,106.0,122.0,356.0,858.0,586.0
bare_soil_to_bare_soil,15488471.231372582,16034037.023529444,16193932.921568658,16426611.639215719,16692449.125490231,16740239.478431404,16950892.219607875
bare_soil_to_snow_and_ice,0.0,1.0,0.0,2.0,3.0,0.0,0.0
snow_and_ice_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_trees,0.0,0.0,0.0,0.0,3.0,0.0,0.0
snow_and_ice_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_crops,1.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_shrub_and_scrub,0.0,0.0,2.0,0.0,0.0,3.0,0.0
snow_and_ice_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_bare_soil,105.0,0.0,1.0,0.0,0.0,0.0,0.0
snow_and_ice_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
