Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,25166.51764705882,26077.482352941173,35395.611764705885,44235.180392156864,68984.43529411765,62392.69019607842,53438.14901960784
water_to_trees,278.0,602.9607843137255,219.98039215686276,354.2705882352941,688.0784313725491,775.2941176470588,1134.956862745098
water_to_grass,25.0,1.0,0.0,0.0,0.0,6.0,20.0
water_to_flooded_vegetation,639.9607843137255,250.0,172.0,116.82352941176471,123.78823529411764,1969.443137254902,302.0
water_to_crops,11696.019607843138,39.38039215686275,2817.529411764706,84.81960784313725,793.0,71.0,594.2078431372549
water_to_shrub_and_scrub,14760.321568627449,1067.372549019608,3298.6274509803925,1980.2470588235294,4187.898039215686,13483.27843137255,4514.26274509804
water_to_built,47.0,7.0,0.0,2.0,22.0,1.0,0.0
water_to_bare_soil,29132.49411764706,1497.8745098039217,6354.882352941177,2562.298039215686,9263.713725490197,24006.309803921566,20898.05490196078
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,1742.0745098039217,372.57254901960783,797.7098039215686,569.8392156862745,301.87450980392157,1393.7764705882353,1417.713725490196
trees_to_trees,61153.35294117646,35699.501960784306,35351.57647058823,32421.80784313725,38821.50196078431,49702.81960784312,70792.1725490196
trees_to_grass,275.0,12.0,110.0,39.0,14.0,97.0,296.0
trees_to_flooded_vegetation,621.3176470588235,21.0,431.16470588235296,60.0,128.0,668.0,623.0
trees_to_crops,14832.819607843137,630.7254901960785,1737.7882352941176,1218.9529411764706,172.43529411764706,330.1411764705882,1566.0666666666666
trees_to_shrub_and_scrub,192480.5529411765,23344.34509803921,12403.592156862744,12717.164705882353,5220.164705882353,26502.945098039214,9752.95294117647
trees_to_built,95.0,7.0,36.0,9.0,10.0,4.0,58.0
trees_to_bare_soil,28915.556862745107,3368.6549019607846,2441.2431372549017,2064.5019607843137,1281.035294117647,2168.7333333333336,1711.0941176470587
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,7.0,2.0,0.0,0.0,2.0,13.0
grass_to_trees,6.0,237.0,18.0,12.0,181.0,149.0,331.4313725490196
grass_to_grass,1550.0,1325.0,985.0,1058.0,1530.0,3163.0,4770.011764705882
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,21484.788235294116,562.0,5545.0,278.0,691.0,604.0,3468.043137254902
grass_to_shrub_and_scrub,1480.3960784313726,248.0,279.0,110.0,37.0,901.0,433.0
grass_to_built,127.0,1.0,5.0,0.0,0.0,5.0,0.0
grass_to_bare_soil,1983.0,61.0,101.0,13.0,340.0,291.0,1740.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,88.0,170.9607843137255,234.0,205.0,111.0,227.0,2797.0
flooded_vegetation_to_trees,91.0,270.28235294117644,19.0,391.16470588235296,147.0,103.43921568627451,484.0705882352941
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,1.0
flooded_vegetation_to_flooded_vegetation,448.6235294117647,517.9607843137255,574.9607843137255,856.5960784313726,955.0274509803921,1382.1490196078432,1283.2235294117647
flooded_vegetation_to_crops,116.0,7.0,20.0,28.0,6.0,1.0,16.0
flooded_vegetation_to_shrub_and_scrub,505.156862745098,612.4588235294118,24.0,431.0,151.0,97.29411764705883,377.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,271.2980392156863,307.2392156862745,43.0,109.17647058823529,3.0,110.0,556.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,6.0,3728.5803921568627,59.0,3955.141176470588,500.0549019607843,1978.0,2807.0
crops_to_trees,430.0,1799.3490196078433,1023.9176470588234,959.0,2802.294117647059,4491.254901960784,3572.4588235294113
crops_to_grass,181.0,4418.0,302.0,1410.0,2705.0,6800.4862745098035,2635.349019607843
crops_to_flooded_vegetation,0.0,37.0,5.0,19.0,13.670588235294117,168.0,127.0
crops_to_crops,347967.1647058823,645650.7686274509,693874.7647058822,729292.6156862744,515198.6666666666,352673.3686274509,377340.71372549015
crops_to_shrub_and_scrub,5767.627450980392,89855.63137254903,8393.03137254902,92553.54901960785,74350.39215686276,52084.341176470574,19569.65882352941
crops_to_built,372.0,464.29019607843134,216.0,1048.1254901960783,525.7450980392157,396.45882352941175,189.0
crops_to_bare_soil,76589.8862745098,191607.5725490196,50028.57647058824,339348.32156862755,202379.4901960784,171360.94117647057,108533.72549019607
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,1222.1568627450981,8411.96862745098,3818.1372549019607,7521.149019607843,8742.788235294118,2424.1686274509802,3712.290196078431
shrub_and_scrub_to_trees,1365.6274509803923,12063.329411764706,11841.427450980394,10703.960784313726,33953.737254901964,23811.76470588235,55176.01176470588
shrub_and_scrub_to_grass,402.0,600.0,51.0,43.0,248.0,333.0,1475.0
shrub_and_scrub_to_flooded_vegetation,67.0,47.0,741.364705882353,243.15686274509804,444.1294117647059,1078.007843137255,244.06274509803922
shrub_and_scrub_to_crops,203867.5137254902,29356.800000000003,125987.25490196075,16999.69019607843,13505.717647058824,16987.666666666664,37321.694117647065
shrub_and_scrub_to_shrub_and_scrub,8128453.729411793,7977519.780392183,8020895.1333333645,7289187.952941202,6948236.109803942,6958090.890196097,6769227.462745113
shrub_and_scrub_to_built,533.2980392156862,381.0,475.52941176470586,280.92549019607844,554.0,394.0,456.0
shrub_and_scrub_to_bare_soil,2156538.2980392147,558204.6705882353,762973.31372549,1023889.5568627444,644081.2588235291,919367.9254901961,867891.2627450976
shrub_and_scrub_to_snow_and_ice,0.0,2.0,0.0,1.0,0.0,0.0,0.0
built_to_water,10.0,1.0,3.0,13.0,4.0,32.0,31.0
built_to_trees,23.0,20.0,6.0,8.0,14.0,121.0,91.0
built_to_grass,0.0,12.0,0.0,0.0,14.0,1.0,8.0
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_crops,751.4588235294118,237.13333333333333,952.1254901960784,137.52941176470588,431.0,641.5019607843137,603.0
built_to_shrub_and_scrub,788.0,360.0,230.0,224.0,147.0,516.9254901960785,318.02352941176474
built_to_built,11426.949019607844,11211.666666666668,10589.49411764706,10669.788235294118,11517.819607843136,11735.901960784315,12416.619607843139
built_to_bare_soil,1186.9058823529413,1023.2941176470588,545.6039215686274,506.0,101.72941176470589,358.64705882352945,391.5294117647059
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_water,1308.321568627451,9489.066666666666,9026.18039215686,27563.60392156862,24060.862745098035,12451.996078431373,11742.580392156862
bare_soil_to_trees,108.81960784313726,2616.650980392157,620.364705882353,1098.8078431372548,4256.803921568628,7062.427450980392,7513.282352941176
bare_soil_to_grass,8.0,567.0,23.0,229.0,604.0,355.0,218.0
bare_soil_to_flooded_vegetation,109.0,42.0,96.44705882352942,77.45098039215686,256.26666666666665,248.69411764705882,84.0
bare_soil_to_crops,336844.42745098035,77418.48235294117,337651.2901960784,50435.70588235295,59155.03137254902,143466.22745098034,117307.2705882353
bare_soil_to_shrub_and_scrub,242349.76470588238,833775.5725490195,303345.00784313725,252561.82745098035,890157.8588235287,683824.1098039213,693596.3411764706
bare_soil_to_built,263.84705882352944,254.26666666666668,236.29411764705884,219.70980392156864,777.4117647058824,1322.8117647058825,759.8196078431372
bare_soil_to_bare_soil,18417713.172549024,19788463.572549023,19893553.29411765,20383856.80784314,20773078.42745098,20781797.388235293,21068239.650980398
bare_soil_to_snow_and_ice,0.0,3.0,0.0,2.0,3.0,0.0,0.0
snow_and_ice_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_trees,0.0,0.0,0.0,0.0,3.0,0.0,0.0
snow_and_ice_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_crops,1.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_shrub_and_scrub,1.0,0.0,2.0,0.0,0.0,3.0,0.0
snow_and_ice_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_bare_soil,299.0,18.0,4.0,0.0,0.0,0.0,0.0
snow_and_ice_to_snow_and_ice,19.0,1.0,0.0,0.0,0.0,0.0,0.0
