Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,90271.38823529411,57832.223529411756,60790.3294117647,114869.7137254902,133605.54117647058,86616.53333333333,157704.61176470589
water_to_trees,153209.52549019607,14708.223529411765,1024.0,27075.333333333332,18118.043137254903,74808.82745098039,9169.69411764706
water_to_grass,292.0,133.0,141.0,5.0,1268.0,643.0,656.8156862745097
water_to_flooded_vegetation,143.0,9.0,13.0,5.0,620.0,754.0,588.0
water_to_crops,10214.0,2698.772549019608,11850.0,306.0,30873.192156862744,1325.0,2540.592156862745
water_to_shrub_and_scrub,146305.64705882352,42446.078431372545,20399.188235294117,7377.952941176471,56946.399999999994,11995.450980392157,12842.019607843136
water_to_built,61.0,37.0,90.0,0.0,148.0,34.0,41.0
water_to_bare_soil,6912.0,3638.164705882353,7459.294117647059,832.0,17596.21568627451,640.0,6117.733333333334
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,78.0
trees_to_water,3318.5019607843137,7311.007843137255,38227.96078431373,6139.007843137255,31022.09411764706,6097.4078431372545,47792.37254901961
trees_to_trees,4314394.333333333,4351631.2549019605,3843172.380392156,4448607.415686274,5494377.57254902,5495465.678431372,8722568.294117646
trees_to_grass,10288.26274509804,7339.196078431372,1685.0,6008.423529411764,11141.529411764706,17783.207843137257,16113.925490196078
trees_to_flooded_vegetation,38.0,67.0,121.0,136.0,18.0,405.0,304.0
trees_to_crops,76062.44705882353,21133.960784313727,49199.61176470588,13170.635294117646,33844.03137254903,10862.729411764707,10737.137254901962
trees_to_shrub_and_scrub,3408652.7333333334,787680.7294117648,1421347.8313725493,111052.55294117646,3876511.9921568627,244137.47450980393,1176015.501960784
trees_to_built,2696.7058823529414,1724.764705882353,2849.8117647058825,779.0,2758.6,1754.0,1685.0
trees_to_bare_soil,47656.50196078433,7137.521568627451,7512.949019607843,426.0,19553.6,331.4313725490196,4609.227450980392
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,101.0,67.0,260.0,872.0,65.0,1068.0,3006.2745098039213
grass_to_trees,6659.141176470588,2747.788235294118,7290.35294117647,2467.0,8257.6,4443.141176470588,32399.44705882353
grass_to_grass,404534.76862745103,458470.2431372549,290260.862745098,375752.062745098,691213.9568627451,770992.4941176471,1199708.8235294116
grass_to_flooded_vegetation,6.0,14.0,12.0,115.0,9.0,336.0,160.0
grass_to_crops,119491.16078431373,48963.388235294115,214260.56470588237,9314.396078431371,148909.05098039214,3849.4980392156863,32141.313725490196
grass_to_shrub_and_scrub,160194.7333333333,117255.23921568628,140760.1254901961,41409.654901960785,398697.84313725494,93217.23529411767,1026522.4313725492
grass_to_built,315.0,409.3411764705882,342.0,97.0,220.93333333333334,197.0,135.82745098039214
grass_to_bare_soil,228771.6156862745,65178.19215686274,178279.12156862745,33958.7725490196,450634.0235294117,26801.850980392155,522897.6509803923
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,2.0,0.0,3.0,169.0,1.0,570.0,806.0
flooded_vegetation_to_trees,1539.0,244.0,287.0,49.0,155.0,47.0,506.0
flooded_vegetation_to_grass,276.0,95.0,112.0,14.0,64.0,54.0,122.0
flooded_vegetation_to_flooded_vegetation,643.0,442.0,198.0,101.0,133.0,113.0,499.0
flooded_vegetation_to_crops,314.0,69.0,146.0,41.0,55.0,10.0,11.0
flooded_vegetation_to_shrub_and_scrub,215.0,32.0,37.0,12.0,211.0,18.0,190.0
flooded_vegetation_to_built,0.0,0.0,1.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,50.0,9.0,1.0,0.0,3.0,1.0,5.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,2897.0,19066.0,2834.0,31141.192156862744,1607.0,37768.407843137255,9042.0
crops_to_trees,8488.76862745098,24390.749019607843,10817.8,94795.03529411762,23730.67450980392,74538.58823529413,50990.105882352946
