Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,90234.93725490196,57797.20392156864,60776.71764705883,114861.08235294119,133551.3568627451,86570.46274509805,157591.83529411763
water_to_trees,153163.31764705884,14700.92549019608,1020.0,27058.749019607843,18118.043137254903,74759.52156862745,9156.137254901962
water_to_grass,292.0,133.0,141.0,5.0,1268.0,642.7529411764706,656.8156862745097
water_to_flooded_vegetation,143.0,9.0,13.0,5.0,620.0,754.0,588.0
water_to_crops,10214.0,2698.772549019608,11843.0,306.0,30856.192156862744,1323.0,2540.341176470588
water_to_shrub_and_scrub,146284.7725490196,42437.09803921569,20392.49411764706,7376.862745098039,56944.15294117647,11995.450980392157,12842.019607843136
water_to_built,58.0,37.0,80.0,0.0,142.5176470588235,32.0,40.0
water_to_bare_soil,6905.972549019607,3628.0,7424.0,832.0,17555.552941176473,640.0,6103.733333333334
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,78.0
trees_to_water,3313.807843137255,7292.427450980392,38221.70980392157,6138.007843137255,30978.243137254907,6086.4078431372545,47783.592156862745
trees_to_trees,4300638.145098038,4338211.290196077,3831215.3058823524,4436881.109803921,5480969.937254899,5481500.7647058815,8704138.584313722
trees_to_grass,10266.243137254902,7338.949019607844,1678.0,5952.7490196078425,11137.129411764705,17782.73725490196,16112.909803921566
trees_to_flooded_vegetation,38.0,67.0,121.0,136.0,18.0,405.0,304.0
trees_to_crops,75398.98039215687,20878.929411764708,48734.17647058823,12683.019607843138,33665.117647058825,10458.972549019609,10525.039215686274
trees_to_shrub_and_scrub,3406548.7647058815,786045.6823529413,1419548.5058823524,110836.13333333333,3873991.7647058815,243957.4431372549,1174478.9294117645
trees_to_built,2275.376470588235,1279.9764705882353,2106.709803921569,626.7725490196078,2027.5372549019608,1427.5058823529412,1381.3019607843137
trees_to_bare_soil,47637.68235294118,7115.760784313726,7460.964705882353,425.74117647058824,19444.894117647058,331.4313725490196,4588.6627450980395
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,101.0,67.0,260.0,872.0,65.0,1068.0,3006.2745098039213
grass_to_trees,6658.447058823529,2732.772549019608,7290.035294117648,2467.0,8250.8,4400.4078431372545,32373.05490196079
grass_to_grass,403224.98039215687,457476.41568627453,289437.7333333333,374938.8784313725,690173.1843137256,770016.0313725491,1198503.650980392
grass_to_flooded_vegetation,6.0,14.0,12.0,115.0,9.0,336.0,160.0
grass_to_crops,118779.51764705882,48924.21176470588,214170.70588235292,9182.164705882353,148823.42352941175,3737.4980392156863,32107.3725490196
grass_to_shrub_and_scrub,160023.64705882352,117155.95686274511,140726.7294117647,41403.964705882354,395799.89803921565,93186.47450980394,1026038.5294117652
grass_to_built,212.0,128.0078431372549,182.0,35.0,142.0,148.0,77.0
grass_to_bare_soil,228114.9254901961,65135.58823529411,178141.00392156866,33949.71764705882,450111.48627450987,26793.286274509803,522707.6352941177
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,2.0,0.0,3.0,169.0,1.0,570.0,806.0
flooded_vegetation_to_trees,1539.0,244.0,287.0,49.0,155.0,47.0,506.0
flooded_vegetation_to_grass,276.0,95.0,112.0,14.0,64.0,54.0,122.0
flooded_vegetation_to_flooded_vegetation,643.0,442.0,198.0,101.0,133.0,113.0,499.0
flooded_vegetation_to_crops,314.0,69.0,146.0,41.0,55.0,10.0,11.0
flooded_vegetation_to_shrub_and_scrub,215.0,32.0,37.0,12.0,211.0,18.0,190.0
flooded_vegetation_to_built,0.0,0.0,1.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,50.0,9.0,1.0,0.0,3.0,1.0,5.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,2897.0,19046.0,2834.0,31127.192156862744,1607.0,37747.40392156863,9031.427450980393
crops_to_trees,8292.537254901961,23586.976470588233,10556.72156862745,94103.67843137252,23008.10588235294,73794.72156862746,49999.05882352941
crops_to_grass,26977.909803921575,35842.7568627451,13334.447058823529,465692.3411764707,41849.66274509804,624741.6431372549,247251.85490196073
