Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,13778.325490196075,13878.145098039213,13698.286274509801,13186.749019607842,13697.086274509802,14217.66666666666,18377.968627450973
water_to_trees,1.0,0.0,0.0,11.0,0.0,0.0,23.0
water_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water_to_crops,0.0,0.0,0.0,0.0,3.0,0.0,1.0
water_to_shrub_and_scrub,13.0,0.0,25.0,0.0,85.98039215686275,20.0,101.75294117647059
water_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_bare_soil,609.8,782.2549019607843,710.5490196078429,1125.5843137254903,298.1333333333333,392.8392156862745,1365.2196078431373
water_to_snow_and_ice,989.9882352941177,99.94117647058823,731.2862745098038,129.6156862745098,31.356862745098038,263.10980392156864,733.0039215686274
trees_to_water,0.0,0.0,5.0,0.0,9.0,2.0,0.0
trees_to_trees,20836.06274509804,11692.305882352943,5149.078431372549,3397.211764705882,3969.192156862745,6070.41568627451,7004.494117647059
trees_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_crops,1738.0745098039215,136.0,45.0,34.0,16.0,0.0,53.0
trees_to_shrub_and_scrub,38968.098039215685,18307.34117647059,9062.76862745098,2920.8745098039212,446.26666666666665,1096.3803921568626,13557.482352941177
trees_to_built,1.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_bare_soil,387.69019607843137,146.0,32.0,25.0,3.0,6.0,40.0
trees_to_snow_and_ice,17.0,0.0,0.0,2.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_grass,1691.81568627451,211.6588235294118,176.12549019607843,294.4078431372549,181.85098039215686,2646.9960784313726,6828.317647058822
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,24942.368627450982,843.650980392157,333.6666666666667,3272.5921568627455,542.7490196078431,1279.9999999999998,20879.258823529406
grass_to_shrub_and_scrub,6258.8,758.5058823529412,64.0,322.62745098039215,104.0,2621.3647058823526,4541.180392156863
grass_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_bare_soil,9971.22745098039,86.0,535.0,88.0,0.0,166.0078431372549,1643.5647058823529
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,16.85098039215686,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,2.5607843137254904,2.56078431372549,2.56078431372549,4.552941176470588,4.545098039215686,2.168627450980392,0.7843137254901961
flooded_vegetation_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,1.384313725490196,0.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,1.0,0.9921568627450981,0.0,0.0,1.0,0.9921568627450981,2.384313725490196
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,0.0,0.0,0.0,0.0,0.0,46.0,0.0
crops_to_trees,14.0,36.0,20.0,23.0,59.160784313725486,113.0,48.0
crops_to_grass,142.0,628.1333333333333,2231.7529411764704,73.1921568627451,2220.0,28163.349019607842,2855.8431372549016
crops_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_crops,1646313.1176470588,1637568.3372549019,1545034.6000000003,1516397.7137254907,1594066.5176470594,1820624.7137254905,1795973.1882352948
crops_to_shrub_and_scrub,68396.91372549022,174023.61568627448,57483.901960784315,52930.278431372564,76421.47843137252,371936.73333333334,115614.45098039211
crops_to_built,155.20392156862746,62.517647058823535,70.43921568627451,139.06274509803922,184.98039215686276,252.64313725490197,139.0
crops_to_bare_soil,205969.50980392157,278403.8588235294,195235.99215686278,181539.1137254902,22101.956862745097,248902.67843137257,156974.99215686275
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,28.96470588235294,79.73725490196078,7.184313725490196,68.24705882352941,7.0,742.3019607843137,4.0
shrub_and_scrub_to_trees,9410.58431372549,2560.5411764705877,1199.007843137255,1001.2470588235294,3110.443137254902,14345.560784313726,2116.1372549019607
shrub_and_scrub_to_grass,52.0,98.0,1550.749019607843,229.0,2272.1686274509802,976.6078431372549,4182.423529411764
shrub_and_scrub_to_flooded_vegetation,0.9921568627450981,0.0,0.0,0.9921568627450981,0.0,0.0,1.384313725490196
shrub_and_scrub_to_crops,371113.8078431373,92424.96862745099,108866.11764705884,71146.66666666666,149358.38823529411,75808.85490196079,296587.27450980386
shrub_and_scrub_to_shrub_and_scrub,13851994.823529374,12784535.964705849,11781856.160784286,11033106.329411743,11102479.45882351,12271615.784313707,13684258.768627418
shrub_and_scrub_to_built,814.3450980392157,908.035294117647,920.364705882353,509.56862745098044,1703.4705882352941,1961.729411764706,702.1058823529412
shrub_and_scrub_to_bare_soil,2656976.5960784317,1212736.0705882353,1627473.552941176,1018988.2039215687,415987.9215686276,156330.58431372547,851137.9529411764
shrub_and_scrub_to_snow_and_ice,19.0,0.0,1.0,2.8196078431372547,0.0,0.0,0.0
built_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_crops,88.0,71.0,85.98039215686275,72.38039215686274,125.64313725490196,213.98039215686273,264.2705882352941
built_to_shrub_and_scrub,2604.4470588235295,797.2078431372548,767.5529411764705,561.1137254901961,260.77647058823527,1021.1058823529412,2186.6313725490195
built_to_built,20150.415686274515,18729.886274509805,17886.3568627451,17950.760784313727,19281.015686274513,22670.64705882353,22636.133333333335
built_to_bare_soil,2878.7411764705885,1798.0313725490198,1294.3882352941175,980.5921568627451,108.0,481.0,1241.4352941176471
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_water,895.1686274509805,674.835294117647,654.0431372549019,394.6823529411765,340.9607843137255,5336.337254901961,83.62352941176471
bare_soil_to_trees,20.0,0.0,9.0,11.0,36.0,126.0,95.0
bare_soil_to_grass,14.0,171.0,19.0,232.0,2040.3490196078433,2105.3686274509805,410.29019607843134
bare_soil_to_flooded_vegetation,0.0,0.0,1.992156862745098,0.0,0.0,1.0,53.0
bare_soil_to_crops,46527.09411764707,69032.72941176471,96736.99607843139,104130.74117647058,725926.8196078431,173677.92549019607,236567.2470588236
bare_soil_to_shrub_and_scrub,125101.23529411764,543448.5019607842,275790.69019607845,585077.6274509802,1341982.4627450982,2190677.294117647,1030527.6078431371
bare_soil_to_built,275.16078431372546,333.83921568627454,687.6862745098039,1176.0431372549017,3217.2666666666664,1443.450980392157,796.4509803921569
bare_soil_to_bare_soil,5734158.8588235285,7997375.247058817,9117977.670588225,10252296.160784302,9381574.223529402,7446967.247058815,6584640.141176465
bare_soil_to_snow_and_ice,356.94901960784296,10.886274509803922,94.00392156862746,68.91372549019609,34.70980392156862,165.09411764705885,206.35686274509806
snow_and_ice_to_water,41.03137254901961,532.4039215686273,88.43529411764706,465.878431372549,839.5686274509803,258.6392156862745,85.55686274509803
snow_and_ice_to_trees,0.0,5.0,2.0,0.0,0.0,0.0,0.0
snow_and_ice_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_shrub_and_scrub,6.0,3.0,3.0,0.0,1.0,0.0,0.0
snow_and_ice_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_bare_soil,93.61568627450981,642.6274509803922,128.0156862745098,110.1372549019608,425.4823529411765,132.3686274509804,94.93333333333334
snow_and_ice_to_snow_and_ice,4406.152941176471,4606.058823529413,4495.435294117648,4745.709803921569,3683.0078431372553,3358.066666666668,3605.7803921568634
