Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,692.0,519.0,400.0,575.0,484.0,1077.0,1351.0
water_to_trees,16.0,0.0,0.0,0.0,13.0,3.0,19.0
water_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_to_crops,174.0,4.0,179.0,0.0,0.0,0.0,3.0
water_to_shrub_and_scrub,718.0,253.0,75.0,156.0,317.0,53.0,803.0
water_to_built,97.0,0.0,196.0,0.0,3.0,0.0,0.0
water_to_bare_soil,544.0,125.0,136.0,135.0,31.0,22.0,134.0
water_to_snow_and_ice,0.0,0.0,42.0,0.0,3.0,47.0,65.0
trees_to_water,39.0,10.0,0.0,0.0,0.0,21.0,32.0
trees_to_trees,116843.82352941178,55464.99215686275,44034.87450980392,40091.03137254902,37051.03137254902,61644.95686274509,81229.31764705882
trees_to_grass,1.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,8.0,1.0
trees_to_crops,2715.7607843137257,681.0,137.0,135.0,70.0,50.0,281.0
trees_to_shrub_and_scrub,162709.41176470587,69776.83137254903,22040.47843137255,50572.56862745098,9071.0,6907.0,170595.1843137255
trees_to_built,67.0,72.0,20.0,18.0,20.0,9.0,3.0
trees_to_bare_soil,1189.7607843137255,831.0,228.0,63.0,20.0,35.0,3999.4627450980392
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,8.0
grass_to_grass,222.0,78.0,37.0,3.0,0.0,21.0,181.0
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,3546.0,182.0,312.0,341.0,6.0,91.4,4829.0
grass_to_shrub_and_scrub,1086.0,64.0,49.0,35.0,6.0,71.03137254901961,663.3803921568627
grass_to_built,1.0,8.0,2.0,2.0,0.0,0.0,0.0
grass_to_bare_soil,4929.0,33.0,39.0,118.0,0.0,7.854901960784314,2360.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,0.0,0.0,0.0,0.0,0.0,0.0,25.0
flooded_vegetation_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,3.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_built,34.0,0.0,19.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,0.0,0.0,1.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,1.0,0.0,0.0,0.0,2.0,36.0,0.0
crops_to_trees,37.0,76.0,145.0,72.0,302.0,799.9254901960784,844.0
crops_to_grass,29.0,30.0,228.0,1.0,18.0,6709.254901960783,414.0
crops_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_crops,992761.0980392157,1069403.5607843136,1013258.0274509804,971161.3215686274,1043289.3764705883,1235148.870588235,1141618.7450980395
crops_to_shrub_and_scrub,28130.047058823526,102950.99607843137,49329.43529411765,39690.44705882353,54587.41176470588,355040.8549019607,71520.22352941177
crops_to_built,189.19607843137254,257.0,271.0,141.0,341.0,850.0745098039216,334.0
crops_to_bare_soil,205343.74117647065,308934.07843137253,153289.59607843138,235438.69019607845,42540.717647058824,306542.38823529414,284687.8627450981
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,47.0,88.0,427.0,176.0,435.0,1078.0,283.0
shrub_and_scrub_to_trees,9866.0,10436.360784313725,46655.72549019608,6042.0,30907.925490196078,189201.34901960785,17832.239215686273
shrub_and_scrub_to_grass,91.0,197.0,172.0,0.0,19.0,41.12549019607843,109.0
shrub_and_scrub_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,17.0,2.0
shrub_and_scrub_to_crops,326072.5215686274,67028.91764705881,82651.63137254902,78046.16470588234,102764.58039215687,29883.945098039218,227279.40784313728
shrub_and_scrub_to_shrub_and_scrub,36835241.12156865,33927970.698039226,33296547.70588235,32152802.192156866,31900814.176470593,34281256.501960784,36349585.74117646
