Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,72084.18823529407,74433.8156862744,73631.87450980385,71760.79999999999,72287.031372549,83244.11372548995,108745.1921568624
water_to_trees,314.97254901960787,85.78039215686275,1286.4588235294116,212.7294117647059,78.9921568627451,10.827450980392157,1032.3176470588235
water_to_grass,7.984313725490196,2.0,216.67450980392155,10.0,4.764705882352941,0.0,183.8627450980392
water_to_flooded_vegetation,1225.6039215686274,375.0,2812.921568627451,1761.5960784313722,573.6313725490196,252.51372549019607,2149.2078431372547
water_to_crops,295.89803921568625,109.10588235294117,642.8196078431371,182.45490196078427,81.82352941176471,31.807843137254903,3130.152941176469
water_to_shrub_and_scrub,224.24705882352941,42.75686274509804,226.66666666666669,10.380392156862746,333.55294117647054,261.7254901960784,1609.9333333333332
water_to_built,75.74509803921569,39.78431372549019,189.26274509803918,113.0470588235294,19.95686274509804,85.90196078431373,228.61568627450978
water_to_bare_soil,1952.9803921568628,44.14901960784314,982.8627450980391,111.49411764705883,67.0,1.0,10911.635294117645
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,565.8588235294117,820.1568627450981,38.07058823529412,216.6156862745098,1819.8274509803916,4178.278431372556,67.69411764705882
trees_to_trees,39364.16078431364,37526.36862745088,32602.643137254807,33577.56078431364,33053.6078431372,31189.392156862734,37396.741176470576
trees_to_grass,407.54117647058825,35.0,293.921568627451,40.0,132.0,20.0,565.8862745098039
trees_to_flooded_vegetation,1625.156862745098,1292.5686274509803,891.1725490196078,980.5215686274507,2478.509803921568,6884.407843137263,373.5098039215686
trees_to_crops,4668.831372549022,1962.172549019608,4592.0156862745125,1517.1725490196077,1882.2117647058822,1409.3686274509798,4286.741176470588
trees_to_shrub_and_scrub,6269.584313725492,1281.5254901960784,5723.113725490199,2078.3921568627447,1055.4313725490197,259.05882352941177,7043.141176470588
trees_to_built,179.2549019607843,338.9411764705882,185.01176470588234,108.52549019607844,322.69019607843137,231.78039215686275,60.286274509803924
trees_to_bare_soil,851.5764705882352,68.69803921568628,665.313725490196,40.0,35.0,0.0,925.6941176470589
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,146.30196078431374,134.85882352941178,3.0,83.69411764705882,194.13333333333333,391.98823529411766,0.0
grass_to_trees,103.97254901960784,173.0,21.988235294117647,294.91764705882355,44.0,559.9921568627451,66.0
grass_to_grass,4274.717647058824,2645.58431372549,2277.1019607843136,2667.411764705882,2469.901960784314,3078.956862745098,2872.3176470588237
grass_to_flooded_vegetation,169.0,241.0,111.0,180.68235294117648,201.31372549019608,371.9921568627451,190.75294117647059
grass_to_crops,3918.145098039216,4758.0392156862745,1985.0705882352943,4064.282352941176,1037.270588235294,5418.407843137255,2078.592156862745
grass_to_shrub_and_scrub,187.6627450980392,433.7686274509804,18.101960784313725,167.0,95.0,97.45490196078431,7.0
grass_to_built,10.0,174.95686274509802,4.0,113.0,25.0,126.0,1.0
grass_to_bare_soil,26.0,124.88627450980391,46.0,64.29803921568627,5.0,12.549019607843139,17.0
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,1106.8823529411766,2695.0901960784313,303.0,473.9490196078431,5271.172549019609,8114.364705882357,507.88235294117646
flooded_vegetation_to_trees,88.5764705882353,503.0509803921569,876.5882352941177,797.156862745098,669.6901960784314,495.74509803921563,3765.6862745098047
flooded_vegetation_to_grass,38.0,28.0,389.48235294117643,26.537254901960786,109.68627450980392,30.0,336.88235294117646
flooded_vegetation_to_flooded_vegetation,7844.35294117647,7924.937254901964,8554.992156862749,10864.19215686275,7395.909803921573,5136.243137254902,11868.76862745099
flooded_vegetation_to_crops,128.1607843137255,264.96078431372547,464.43137254901956,366.3450980392157,799.0549019607843,320.9764705882353,970.513725490196
flooded_vegetation_to_shrub_and_scrub,206.04313725490195,168.89019607843136,350.01960784313724,422.96078431372547,503.1333333333333,14.0,1082.0156862745098
flooded_vegetation_to_built,105.21176470588236,77.64313725490196,154.15294117647056,95.6,127.74509803921568,11.701960784313727,93.0
flooded_vegetation_to_bare_soil,420.5686274509804,102.0,235.756862745098,133.0,91.0,0.0,483.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,701.2156862745097,599.2235294117646,82.62352941176471,186.3529411764706,1239.2352941176468,7225.447058823529,110.61568627450981
crops_to_trees,1564.3372549019607,2226.7843137254904,1682.9686274509804,3734.6431372549023,4078.83137254902,6339.631372549021,5094.325490196079
crops_to_grass,3465.8901960784315,1607.886274509804,3930.894117647059,1302.3254901960784,7193.945098039217,2061.1372549019607,4479.7764705882355
crops_to_flooded_vegetation,179.2470588235294,476.4196078431372,344.48627450980393,525.0980392156862,747.7176470588236,1235.443137254902,343.05098039215676
crops_to_crops,522871.49803921435,542265.227450979,553633.0313725475,556186.3254901947,544203.4156862731,505505.74901960674,516706.97254901845
crops_to_shrub_and_scrub,3375.509803921568,6403.745098039216,1318.5098039215688,5080.494117647059,7388.925490196078,86712.08627450989,2653.152941176471
crops_to_built,1467.5686274509806,4737.231372549019,724.0,4828.266666666667,5916.658823529412,7875.654901960785,792.3019607843137
crops_to_bare_soil,29030.99215686275,21075.34509803921,35421.83529411765,35671.58039215686,14435.258823529419,28678.862745098042,19278.85490196078
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,12.0,0.0
shrub_and_scrub_to_water,51.0,175.7058823529412,18.0,450.313725490196,653.6941176470589,6215.439215686277,63.0
shrub_and_scrub_to_trees,1508.8156862745097,3932.611764705883,1489.6470588235293,1875.521568627451,5657.105882352943,10298.72156862745,1312.0862745098038
shrub_and_scrub_to_grass,202.0,121.0,257.0,15.345098039215685,62.0,14.0,101.0
shrub_and_scrub_to_flooded_vegetation,306.84705882352944,597.9176470588235,283.3764705882353,228.41176470588235,1653.6156862745097,4096.164705882353,497.70588235294116
shrub_and_scrub_to_crops,8744.94117647059,3317.4784313725486,10608.160784313726,3574.1411764705886,5700.6274509803925,3737.56862745098,36004.44705882355
shrub_and_scrub_to_shrub_and_scrub,315960.41568627435,309443.7725490193,221022.37647058815,198352.0666666666,259571.21176470572,700129.482352941,1543603.1921568613
shrub_and_scrub_to_built,760.7058823529411,2184.3725490196075,651.4156862745098,1474.0235294117647,3056.55294117647,1758.0980392156862,887.7098039215687
shrub_and_scrub_to_bare_soil,383809.96078431344,24726.105882352946,333056.2862745098,29108.337254901962,19773.03529411765,3859.4901960784314,3029056.556862743
shrub_and_scrub_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_water,121.61960784313726,182.19215686274507,42.65098039215686,39.0,532.7607843137255,2221.627450980392,67.90196078431373
built_to_trees,297.5960784313725,115.85098039215686,539.9686274509804,206.74901960784314,344.27450980392155,152.06666666666666,516.5411764705882
built_to_grass,157.98823529411766,0.0,179.93333333333334,10.0,54.0,8.0,124.0
built_to_flooded_vegetation,107.8,139.14509803921567,104.79215686274509,219.8313725490196,278.356862745098,274.22352941176473,8.91764705882353
built_to_crops,4607.666666666666,864.9490196078433,5396.243137254902,1036.2549019607845,1797.941176470588,1226.9450980392157,11019.117647058823
built_to_shrub_and_scrub,1155.7960784313723,293.5529411764706,1653.498039215686,439.0274509803922,361.0,1780.0549019607845,3261.2196078431375
built_to_built,57383.45490196077,59000.239215686255,59296.58431372546,59667.949019607826,65132.04705882353,74866.27450980396,72630.13333333335
built_to_bare_soil,5145.380392156863,1005.3333333333334,3099.1372549019607,999.9411764705883,1091.7254901960785,618.686274509804,9417.239215686275
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_water,355.32549019607836,948.4980392156863,43.28235294117647,236.02745098039216,1890.035294117647,16399.65882352941,1.8666666666666667
bare_soil_to_trees,83.0,427.8156862745098,58.52549019607844,80.0,245.7843137254902,1673.3176470588235,11.0
bare_soil_to_grass,131.97254901960784,26.7921568627451,90.27843137254901,0.0,31.04313725490196,20.568627450980394,4.0
bare_soil_to_flooded_vegetation,306.56470588235294,281.435294117647,77.0,207.05882352941177,793.9764705882353,856.7607843137255,15.937254901960785
bare_soil_to_crops,34156.721568627436,43596.41568627452,30193.313725490196,18277.011764705883,90143.66666666666,31808.227450980397,19171.6431372549
bare_soil_to_shrub_and_scrub,17119.705882352944,249318.25098039207,4765.874509803922,89577.52156862746,460800.7098039213,3822271.835294117,6445.545098039216
bare_soil_to_built,1619.321568627451,3759.6392156862744,1414.3254901960784,3191.6941176470586,6547.227450980392,12089.658823529417,425.0
bare_soil_to_bare_soil,10467374.337254941,10590252.949019654,10600756.866666716,10862694.745098095,10368370.952941211,6518748.945098046,6525844.541176477
bare_soil_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,0.0,12.0
snow_and_ice_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_bare_soil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
