Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,10134.8,7387.596078431373,5307.792156862744,7771.282352941176,7941.105882352941,6797.105882352941,36080.76078431372
water_to_trees,10650.674509803921,441.0,162.0,933.7294117647059,1161.0,1549.0,687.3921568627451
water_to_grass,203.0,7.0,36.0,20.0,159.0,425.0,207.18039215686275
water_to_flooded_vegetation,4.0,14.0,143.0,3.0,54.0,38.0,99.0
water_to_crops,5044.749019607843,1503.2,6856.368627450981,105.0,11591.06274509804,152.0,216.7450980392157
water_to_shrub_and_scrub,17859.352941176472,5834.698039215687,2006.4313725490197,1032.0,11138.858823529412,749.6941176470588,1346.1764705882354
water_to_built,48.0,4.0,46.0,0.0,43.0,0.0,16.0
water_to_bare_soil,1659.0,1054.9686274509804,3042.0,42.0,7660.733333333334,300.0,198.0
water_to_snow_and_ice,50.0,0.0,0.0,0.0,0.0,0.0,1.0
trees_to_water,400.0,241.47450980392156,331.7294117647059,292.0,841.8901960784314,892.0,3097.4156862745094
trees_to_trees,679035.0862745097,582055.3725490196,495833.97647058824,775987.5137254901,946431.5529411761,893268.5058823526,1334449.0156862738
trees_to_grass,7821.556862745098,4243.545098039215,360.0,1284.5372549019608,5537.878431372549,7763.894117647059,15069.866666666667
trees_to_flooded_vegetation,3.0,18.0,0.0,0.0,7.0,3.0,52.0
trees_to_crops,23173.066666666666,15392.639215686273,28953.313725490196,1916.3333333333333,14912.152941176471,2275.7294117647057,3452.8313725490198
trees_to_shrub_and_scrub,612937.7764705878,462513.20784313715,160485.43137254904,48455.8,960358.8549019605,99046.20784313726,296795.11764705885
trees_to_built,300.0,480.22352941176473,479.5333333333333,184.0,492.1647058823529,298.7803921568627,459.99607843137255
trees_to_bare_soil,5565.396078431373,11112.419607843136,1484.1568627450981,284.0,2252.305882352941,168.75294117647053,1164.0
trees_to_snow_and_ice,7.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,21.0,126.0,45.0,69.0,5.0,622.0,2417.0
grass_to_trees,3470.3960784313726,1557.0588235294117,5667.7411764705885,1666.0,1304.8156862745097,2021.3960784313726,20195.643137254905
grass_to_grass,502295.0470588234,508775.86666666646,379218.5019607842,536817.0823529409,682155.0156862743,734407.1333333327,1164378.9843137246
grass_to_flooded_vegetation,1.0,0.0,0.0,0.0,2.0,0.0,84.0
grass_to_crops,120770.85882352939,40887.85490196078,88006.86666666667,8676.592156862745,113632.14901960784,7165.247058823529,16355.631372549022
grass_to_shrub_and_scrub,232901.1215686274,68460.92941176471,186403.2549019607,61429.39215686274,408795.61568627425,65649.56470588235,708871.5411764705
grass_to_built,305.8078431372549,266.9921568627451,177.72156862745098,31.0,76.0,42.0,190.0
grass_to_bare_soil,260773.43921568626,83836.38039215688,125843.21960784314,47732.470588235294,442620.25098039204,18193.964705882354,294553.9725490196
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,3.0,3.0,0.0,140.0,14.0,47.0,97.0
flooded_vegetation_to_trees,1.0,1.0,22.0,1.0,49.0,18.0,3.0
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,8.0,7.0
flooded_vegetation_to_flooded_vegetation,2.0,4.0,1.0,2.0,19.0,10.0,117.0
flooded_vegetation_to_crops,72.0,0.0,48.0,0.0,13.0,6.0,1.0
flooded_vegetation_to_shrub_and_scrub,99.0,2.0,42.0,23.0,98.0,2.0,9.0
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,22.0,0.0,0.0,0.0,14.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,1048.0,4821.498039215687,800.0,13141.06274509804,167.87058823529412,13802.30588235294,4118.0
crops_to_trees,5498.607843137255,11250.466666666667,6150.298039215687,54867.18823529412,6895.8549019607835,26878.55294117647,13099.882352941177
crops_to_grass,12263.823529411764,36153.12549019608,20967.133333333335,323345.0313725489,28048.505882352936,189631.0549019608,82733.65882352942
crops_to_flooded_vegetation,0.0,45.0,0.0,34.0,9.0,178.0,772.0
crops_to_crops,1023327.9647058825,1492258.11372549,1931701.6588235293,1279293.5098039214,961144.619607843,404015.35686274513,233145.6039215686
crops_to_shrub_and_scrub,108436.35294117648,420146.6117647059,137658.98823529412,1730722.737254902,302841.58431372547,856689.8588235293,135305.7176470588
crops_to_built,944.0,1256.8156862745097,1587.5647058823529,1717.2980392156862,1290.9137254901962,1863.4352941176471,1139.2274509803922
crops_to_bare_soil,134920.8,174038.34117647057,150159.36470588238,659703.2235294116,214835.1411764706,279107.80000000005,34691.76470588235
crops_to_snow_and_ice,0.0,5.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,3517.086274509804,2157.0235294117647,2188.4901960784314,8046.419607843138,957.9333333333333,11183.50588235294,14708.513725490195
shrub_and_scrub_to_trees,375681.49411764706,91522.38823529411,308149.3372549019,1078970.6784313724,47326.79607843137,726879.7568627449,463939.98823529395
shrub_and_scrub_to_grass,147477.93725490198,137618.4470588235,76300.74117647059,312871.262745098,75862.17647058824,797481.9137254898,208502.9607843138
shrub_and_scrub_to_flooded_vegetation,0.0,11.0,21.0,75.0,0.0,4.0,613.0
shrub_and_scrub_to_crops,511496.5882352942,354037.47058823536,1262940.0666666664,85689.59999999998,481665.6039215686,62612.74509803922,42941.882352941175
shrub_and_scrub_to_shrub_and_scrub,20186612.21568642,19683372.41960795,18314688.556862824,17992940.658823602,20700157.094117735,21246741.38039226,23824018.37254908
