Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,31028.223529411764,33192.69411764706,39103.333333333336,49905.756862745104,54145.662745098045,63621.96470588236,68740.22352941177
water_to_trees,1476.3450980392158,1765.7607843137255,172.0,1828.7333333333333,1245.8078431372548,820.0,9375.450980392157
water_to_grass,75.0,0.0,5.0,5.0,0.0,138.0,973.8078431372548
water_to_flooded_vegetation,986.5999999999999,21.16078431372549,31.541176470588233,102.0,66.0,252.0,969.0039215686274
water_to_crops,188.39999999999998,90.0,88.0,132.0,209.0,54.0,2097.6117647058823
water_to_shrub_and_scrub,336.4313725490196,354.0,124.0,920.3882352941176,299.0,199.0,6746.545098039216
water_to_built,1.0,6.0,0.0,11.0,8.0,7.0,59.0
water_to_bare_soil,152.61960784313726,476.0,324.0,141.0,87.0,18.0,12049.788235294118
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,123.0,24.0
trees_to_water,3130.0,3823.603921568628,9832.41568627451,4528.235294117647,6012.61568627451,14002.243137254902,665.0
trees_to_trees,137439.8588235294,140692.06666666665,137438.7137254902,173027.24313725485,243510.7921568627,555497.1686274509,290442.87058823527
trees_to_grass,12.0,104.0,8.0,142.0,12.0,360.0,296.0
trees_to_flooded_vegetation,276.6235294117647,323.4156862745098,270.8666666666667,130.0,455.09803921568624,1691.686274509804,112.0
trees_to_crops,1873.8823529411766,3693.635294117647,3675.5294117647063,1777.0,1051.3960784313726,2206.2313725490194,10341.470588235294
trees_to_shrub_and_scrub,10203.564705882352,56800.01176470588,9361.72156862745,27999.592156862745,13279.423529411764,290841.05098039214,620739.094117647
trees_to_built,142.0,239.0,301.1921568627451,199.0,328.0,472.0,412.0
trees_to_bare_soil,588.0,367.28627450980395,457.843137254902,101.90588235294118,3.0,12.105882352941176,2482.098039215686
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,1.0,2.0
grass_to_water,7.0,33.0,49.0,11.0,36.0,812.0,16.0
grass_to_trees,49.0,43.0,66.0,32.48235294117647,228.0,3452.0,386.956862745098
grass_to_grass,22526.501960784313,8058.866666666667,18152.31764705883,73507.39607843135,276061.77647058823,877824.3098039215,288284.9882352941
grass_to_flooded_vegetation,1.0,1.0,0.0,0.0,16.0,43.0,76.0
grass_to_crops,55519.09411764706,66790.9411764706,27544.85098039216,19553.019607843136,44426.458823529414,138715.92941176472,283923.8392156863
grass_to_shrub_and_scrub,6805.0,4713.6,891.0,28069.70980392157,348670.0470588235,657079.4352941175,366080.90980392153
grass_to_built,0.0,2.0,2.0,0.0,9.0,18.0,111.0
grass_to_bare_soil,9809.870588235295,48811.4431372549,1062.0,25723.23921568628,101855.73725490196,92329.79607843138,520363.4588235293
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,258.0,1017.1686274509801,544.5764705882353,124.47843137254903,438.45490196078435,847.556862745098,46.0
flooded_vegetation_to_trees,256.81176470588235,189.12549019607843,81.83921568627451,501.5411764705882,195.0,88.0,2572.3019607843135
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,79.0,17.0
flooded_vegetation_to_flooded_vegetation,821.7803921568628,1096.5882352941176,923.4196078431373,661.3137254901961,328.83137254901965,680.0,766.4745098039216
flooded_vegetation_to_crops,0.0,57.0,5.0,0.0,2.0,2.0,222.0
flooded_vegetation_to_shrub_and_scrub,71.5921568627451,318.71764705882356,44.0,344.57254901960783,13.815686274509805,22.0,2695.5882352941176
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,1.007843137254902,0.0,7.0
flooded_vegetation_to_bare_soil,0.0,2.0,0.0,1.0,0.0,2.0,2524.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,13.0
crops_to_water,202.0,196.05882352941177,478.0705882352941,575.0,289.82745098039214,2539.8745098039217,25.36862745098039
crops_to_trees,3122.968627450981,1055.113725490196,2231.1254901960783,4973.701960784314,11393.670588235294,9563.45882352941,3729.1450980392156
crops_to_grass,94602.4274509804,29674.627450980395,75194.47058823527,655271.4980392157,1382742.6705882354,247545.7725490196,21586.63529411765
crops_to_flooded_vegetation,12.0,0.0,3.0,51.85490196078432,208.0,247.0,0.0
crops_to_crops,6606041.556862744,6642454.270588236,7778224.549019607,5782155.211764705,1957587.7882352935,1221537.8901960785,1268743.921568627
crops_to_shrub_and_scrub,1961610.0784313723,150388.21568627452,596859.4549019607,2157258.6352941166,1745073.9725490191,567110.6078431371,98286.58431372549
crops_to_built,1052.592156862745,961.0980392156863,586.086274509804,1207.7098039215687,2027.792156862745,998.5333333333333,780.8823529411765
crops_to_bare_soil,1398845.4431372546,310381.55294117646,79244.26274509804,620899.0196078431,931799.3999999999,61516.83921568629,125360.81568627447
crops_to_snow_and_ice,6.0,0.0,0.0,0.0,0.0,95.0,0.0
shrub_and_scrub_to_water,672.3921568627451,1109.7294117647057,2642.4823529411765,402.0,2363.403921568627,6944.98431372549,113.20392156862745
shrub_and_scrub_to_trees,63085.91764705881,17353.215686274507,67303.29803921568,83236.37647058823,607403.2549019607,355568.90588235296,18171.980392156864
shrub_and_scrub_to_grass,3182.0,1323.8745098039217,7210.929411764706,14892.054901960784,56620.79607843138,200476.80784313724,66527.16470588234
shrub_and_scrub_to_flooded_vegetation,526.5960784313725,149.55686274509804,396.07843137254906,21.941176470588236,596.6274509803922,3510.670588235294,86.0
shrub_and_scrub_to_crops,148605.9215686274,1090420.0352941176,476347.3882352942,134105.4196078431,58847.23529411765,105395.69411764707,298503.35294117645
shrub_and_scrub_to_shrub_and_scrub,10022085.431372546,10820580.937254906,10524478.686274512,11586347.81176471,13466276.023529418,15599577.97647062,16721198.521568667
shrub_and_scrub_to_built,2360.4470588235295,2926.564705882353,2126.0313725490196,1779.6941176470589,3686.3019607843144,4166.3647058823535,1819.372549019608
shrub_and_scrub_to_bare_soil,102492.73333333334,1137145.5647058822,175723.40784313728,130761.49411764707,124682.76862745098,80189.4274509804,1166317.2235294115
shrub_and_scrub_to_snow_and_ice,4.0,0.0,0.0,0.0,0.0,89.0,6.0
